variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	smu1 meas	


1.0	0			3.6089e-08	2.97327e-07	2.99538e-07	83.076	-2.087384e-11
1.004	1			-1.82074e-07	5.81847e-07	6.09671e-07	107.37	-2.238159e-11
1.008	2			4.11064e-07	-1.79979e-07	4.48783e-07	-23.634	-2.250725e-11
1.012	3			-1.72878e-07	-1.00933e-07	2.00119e-07	-149.718	-2.33449e-11
1.016	4			5.63221e-07	8.64504e-07	1.0318e-06	56.916	-1.915675e-11
1.02	5			-5.30043e-07	1.74624e-07	5.58099e-07	161.754	-2.166959e-11
1.024	6			-5.90346e-07	-4.91509e-07	7.67996e-07	-140.22	-1.957553e-11
1.028	7			1.76719e-07	7.17238e-07	7.38659e-07	76.158	-2.309364e-11
1.032	8			7.03153e-08	-3.51227e-07	3.58095e-07	-78.666	-2.489451e-11
1.036	9			-2.89177e-07	-2.5728e-07	3.86966e-07	-138.342	-2.120893e-11
1.04	10			7.28589e-07	2.81203e-07	7.80976e-07	21.108	-2.300981e-11
1.044	11			5.07807e-07	-5.4599e-08	5.10718e-07	-6.132	-2.020372e-11
1.048	12			1.68943e-06	-9.19687e-09	1.68943e-06	-0.312	-2.275857e-11
1.052	13			6.56958e-06	-2.42145e-08	6.56958e-06	-0.21	-1.877979e-11
1.056	14			8.93982e-06	-1.05566e-06	9.00222e-06	-6.732	-2.108328e-11
1.06	15			3.00446e-05	-5.51347e-07	3.00502e-05	-1.05	-2.476889e-11
1.064	16			6.05586e-05	-1.09524e-06	6.05697e-05	-1.032	-2.125081e-11
1.068	17			0.000126884	-2.88339e-06	0.000126922	-1.302	-2.31774e-11
1.072	18			0.00016182	-3.12181e-06	0.00016185	-1.104	-2.19628e-11
1.076	19			0.00015618	-2.83869e-06	0.000156202	-1.038	-2.171151e-11
1.08	20			0.000131273	-2.55556e-06	0.000131295	-1.116	-2.187902e-11
1.084	21			0.000118673	-3.6061e-06	0.000118725	-1.74	-1.827723e-11
1.088	22			6.76666e-05	-1.90736e-06	6.76964e-05	-1.608	-1.735583e-11
1.092	23			3.99353e-05	-1.71364e-06	3.99577e-05	-2.448	-2.342868e-11
1.096	24			2.31267e-05	-1.2368e-06	2.3164e-05	-3.054	-2.388936e-11
1.1	25			2.02731e-05	-6.85457e-07	2.0288e-05	-1.92	-2.35962e-11
1.104	26			1.71663e-05	9.31327e-08	1.71663e-05	0.324	-2.045509e-11
1.108	27			1.53558e-05	-1.41562e-06	1.54191e-05	-5.262	-2.313547e-11
1.112	28			1.26102e-05	-5.43896e-07	1.26251e-05	-2.466	-1.932427e-11
1.116	29			6.94583e-06	-1.44169e-06	7.09298e-06	-11.712	-2.133457e-11
1.12	30			4.68365e-06	1.04309e-07	4.68458e-06	1.278	-1.911486e-11
1.124	31			3.56884e-06	-8.02804e-07	3.65825e-06	-12.672	-2.208845e-11
1.128	32			1.27056e-06	-1.40165e-07	1.27825e-06	-6.294	-2.192095e-11
1.132	33			1.26591e-06	-2.07919e-07	1.2829e-06	-9.33	-2.439191e-11
1.136	34			3.43194e-07	-2.16301e-07	4.05476e-07	-32.208	-2.179528e-11
1.14	35			-5.49018e-07	9.85579e-07	1.12819e-06	119.118	-2.259104e-11
1.144	36			-6.96866e-07	5.652e-07	8.97217e-07	140.952	-2.24235e-11
1.148	37			1.93134e-07	-5.34816e-07	5.6846e-07	-70.14	-1.915674e-11
1.152	38			1.3701e-06	1.01398e-07	1.37382e-06	4.236	-2.661167e-11
1.156	39			-5.0059e-07	-5.49833e-07	7.43548e-07	-132.324	-2.024571e-11
1.16	40			-3.84172e-07	9.14679e-07	9.92099e-07	112.776	-2.204657e-11
1.164	41			9.88371e-08	-8.08275e-07	8.14212e-07	-83.028	-2.17953e-11
1.168	42			2.14205e-08	-5.22941e-07	5.23291e-07	-87.642	-2.29261e-11
1.172	43			2.67175e-07	-1.64961e-07	3.13974e-07	-31.668	-2.791001e-11
1.176	44			-9.7161e-07	2.08501e-07	9.93612e-07	167.88	-2.476889e-11
1.18	45			-3.86617e-07	-5.11882e-07	6.41336e-07	-127.056	-2.154401e-11
1.184	46			1.30386e-07	-1.07522e-06	1.08302e-06	-83.082	-2.003626e-11
1.188	47			-5.28413e-07	-7.276e-08	5.33302e-07	-172.17	-2.510393e-11
1.192	48			4.15605e-08	-4.44825e-07	4.46687e-07	-84.648	-2.032944e-11
1.196	49			5.73815e-07	-2.03029e-07	6.08623e-07	-19.482	-2.238163e-11
1.2	50			5.8534e-07	-5.1095e-07	7.76959e-07	-41.112	-2.238162e-11
1.204	51			4.04546e-06	-2.46337e-07	4.05291e-06	-3.48	-2.012001e-11
1.208	52			8.83365e-06	-1.90922e-07	8.83552e-06	-1.236	-2.60672e-11
1.212	53			1.61474e-05	-3.11995e-07	1.61511e-05	-1.104	-2.246539e-11
1.216	54			2.61926e-05	-9.98385e-07	2.62113e-05	-2.178	-2.175339e-11
1.22	55			3.09146e-05	-1.2368e-06	3.09388e-05	-2.286	-1.785838e-11
1.224	56			4.03097e-05	-8.10254e-07	4.03172e-05	-1.152	-1.98268e-11
1.228	57			4.42083e-05	-1.99863e-06	4.42548e-05	-2.586	-2.548086e-11
1.232	58			4.18613e-05	-1.10642e-06	4.18762e-05	-1.512	-1.907296e-11
1.236	59			2.84688e-05	-9.35052e-07	2.84837e-05	-1.878	-2.359619e-11
1.24	60			1.6261e-05	-1.05054e-06	1.62945e-05	-3.696	-2.430817e-11
1.244	61			7.24944e-06	-6.91045e-07	7.28297e-06	-5.436	-2.506204e-11
1.248	62			2.71808e-06	1.19257e-06	2.96814e-06	23.688	-2.313551e-11
1.252	63			1.18791e-06	-1.72296e-07	1.20048e-06	-8.238	-2.150211e-11
1.256	64			9.13398e-07	-6.25852e-07	1.10688e-06	-34.41	-2.187902e-11
1.26	65			-6.78705e-07	-1.30852e-07	6.91045e-07	-169.086	-1.924049e-11
1.264	66			-1.52971e-07	-5.57284e-07	5.77773e-07	-105.348	-2.112516e-11
1.268	67			1.36451e-06	-1.44822e-07	1.37219e-06	-6.054	-2.087384e-11
1.272	68			-9.66252e-08	1.14344e-06	1.14751e-06	94.824	-2.388936e-11
1.276	69			-6.35049e-07	-2.46686e-07	6.8115e-07	-158.778	-2.141836e-11
1.28	70			-2.09432e-07	6.37843e-07	6.71254e-07	108.174	-2.12927e-11
1.284	71			3.30971e-07	8.52047e-07	9.14213e-07	68.772	-2.129269e-11
1.288	72			-9.80222e-08	7.47972e-07	7.54491e-07	97.458	-1.953369e-11
1.292	73			3.6508e-07	3.97909e-07	5.39938e-07	47.46	-2.12927e-11
1.296	74			2.6962e-07	-2.83939e-07	3.91507e-07	-46.464	-2.19628e-11
1.3	75			3.75907e-07	1.68105e-07	4.11763e-07	24.108	-2.271668e-11
1.304	76			-2.14205e-08	-1.95811e-07	1.96859e-07	-96.216	-2.099949e-11
1.308	77			-6.8406e-07	2.79398e-09	6.83944e-07	179.76	-1.743958e-11
1.312	78			1.07522e-06	-7.39008e-07	1.30467e-06	-34.5	-1.890544e-11
1.316	79			-3.24218e-07	7.02919e-07	7.73933e-07	114.762	-2.355433e-11
1.32	80			-1.26428e-07	7.042e-07	7.15492e-07	100.17	-2.703055e-11
1.324	81			-3.95115e-07	-3.25499e-07	5.11882e-07	-140.514	-2.263291e-11
1.328	82			2.45871e-07	1.81958e-07	3.05825e-07	36.504	-2.58997e-11
1.332	83			7.18286e-07	8.68346e-07	1.12691e-06	50.406	-1.903108e-11
1.336	84			-6.11533e-07	-8.06413e-07	1.01189e-06	-127.17	-2.56484e-11
1.34	85			-7.61709e-07	-4.52974e-07	8.86041e-07	-149.262	-2.296791e-11
1.344	86			-2.17348e-07	-1.07429e-06	1.09594e-06	-101.436	-1.957549e-11
1.348	87			4.08154e-07	3.2061e-07	5.191e-07	38.16	-2.053883e-11
1.352	88			-3.15022e-07	3.22822e-07	4.50995e-07	134.286	-2.238161e-11
1.356	89			-5.99543e-08	5.53617e-07	5.56818e-07	96.18	-2.39731e-11
1.36	90			5.43314e-07	-2.08559e-07	5.81964e-07	-21.0	-2.196279e-11
1.364	91			-6.23058e-07	1.64379e-07	6.44362e-07	165.216	-1.986874e-11
1.368	92			2.82775e-07	4.95293e-07	5.70322e-07	60.276	-2.179529e-11
1.372	93			1.47441e-07	8.14911e-10	1.47441e-07	0.336	-2.012005e-11
1.376	94			6.17588e-08	3.21541e-07	3.27362e-07	79.122	-2.179526e-11
1.38	95			-7.47391e-08	1.11061e-07	1.33879e-07	123.924	-2.012001e-11
1.384	96			-2.20957e-07	-4.84059e-07	5.32022e-07	-114.528	-2.087387e-11
1.388	97			-4.59843e-08	-3.99772e-07	4.02217e-07	-96.558	-2.367995e-11
1.392	98			2.37954e-07	-6.27948e-07	6.71487e-07	-69.234	-2.288421e-11
1.396	99			-7.27134e-07	4.64266e-07	8.62641e-07	147.438	-2.271667e-11
1.4	100			4.17234e-07	1.72074e-06	1.77057e-06	76.368	-2.162775e-11
1.404	101			1.79513e-07	-2.11877e-07	2.77652e-07	-49.716	-1.890543e-11
1.408	102			-7.42384e-07	-2.91739e-07	7.97449e-07	-158.55	-1.97431e-11
1.412	103			7.02454e-07	-3.58328e-07	7.88601e-07	-27.024	-2.150211e-11
1.416	104			1.11201e-06	-2.94533e-07	1.15031e-06	-14.832	-1.869603e-11
1.42	105			1.16358e-06	1.37254e-06	1.79944e-06	49.71	-2.032942e-11
1.424	106			1.10572e-06	-1.02656e-06	1.50875e-06	-42.876	-2.250726e-11
1.428	107			1.21049e-06	8.65435e-07	1.48803e-06	35.562	-2.489452e-11
1.432	108			4.55466e-06	1.60654e-07	4.55699e-06	2.022	-2.321927e-11
1.436	109			8.829e-06	-2.51925e-07	8.83272e-06	-1.632	-2.229786e-11
1.44	110			1.64557e-05	1.56463e-07	1.64566e-05	0.546	-2.154399e-11
1.444	111			3.03277e-05	-8.12117e-07	3.03389e-05	-1.53	-2.066448e-11
1.448	112			4.87978e-05	-2.68223e-07	4.87978e-05	-0.312	-2.246539e-11
1.452	113			6.35725e-05	-2.0452e-06	6.36061e-05	-1.842	-1.911485e-11
1.456	114			0.000109256	-3.16651e-06	0.000109308	-1.656	-1.752334e-11
1.46	115			0.00014335	-4.34372e-06	0.000143417	-1.734	-2.372185e-11
1.464	116			0.0001615	-4.67899e-06	0.000161567	-1.656	-2.053886e-11
1.468	117			0.000226618	-7.09298e-06	0.000226737	-1.788	-2.037131e-11
1.472	118			0.000237496	-7.03338e-06	0.000237615	-1.692	-2.187906e-11
1.476	119			0.000233294	-6.76516e-06	0.000233413	-1.656	-2.502017e-11
1.48	120			0.000223518	-5.72208e-06	0.000223578	-1.458	-2.242352e-11
1.484	121			0.00019461	-5.24524e-06	0.0001947	-1.542	-2.020377e-11
1.488	122			0.000151099	-3.6359e-06	0.000151129	-1.38	-1.70208e-11
1.492	123			0.000139267	-4.17235e-06	0.000139327	-1.716	-1.991063e-11
1.496	124			0.000104666	-3.21867e-06	0.000104726	-1.752	-2.468513e-11
1.5	125			8.01091e-05	-3.03985e-06	8.01687e-05	-2.154	-1.7649e-11
1.504	126			5.88896e-05	-1.93717e-06	5.89194e-05	-1.878	-2.162774e-11
1.508	127			3.44517e-05	-2.20539e-06	3.45262e-05	-3.654	-2.347056e-11
1.512	128			2.99365e-05	-1.78815e-06	2.99887e-05	-3.414	-2.233976e-11
1.516	129			6.34234e-06	-9.72308e-07	6.41498e-06	-8.712	-2.246537e-11
1.52	130			4.65012e-06	-8.75447e-07	4.73115e-06	-10.662	-2.125086e-11
1.524	131			2.13321e-06	2.16533e-07	2.14392e-06	5.796	-1.961745e-11
1.528	132			1.29571e-06	-2.82891e-07	1.32621e-06	-12.312	-2.280045e-11
1.532	133			5.32487e-07	-4.3004e-07	6.84293e-07	-38.904	-2.690487e-11
1.536	134			-6.46342e-07	-5.03151e-07	8.18869e-07	-142.098	-1.861229e-11
1.54	135			-1.76137e-07	9.67419e-07	9.83251e-07	100.32	-2.192095e-11
1.544	136			-6.79986e-07	7.22944e-08	6.83827e-07	173.922	-2.259103e-11
1.548	137			-1.39001e-07	9.01524e-07	9.12234e-07	98.766	-2.481079e-11
1.552	138			1.28989e-07	4.68224e-07	4.85688e-07	74.58	-2.129271e-11
1.556	139			-5.63337e-07	-9.32723e-07	1.08965e-06	-121.128	-2.146025e-11
1.56	140			8.77659e-07	3.35278e-08	8.78241e-07	2.19	-2.355429e-11
1.564	141			8.24225e-08	6.10136e-07	6.15724e-07	82.302	-2.388938e-11
1.568	142			2.70784e-07	2.37837e-07	3.60424e-07	41.298	-1.710456e-11
1.572	143			6.56587e-08	-4.68108e-07	4.72532e-07	-82.014	-2.091578e-11
1.576	144			4.36792e-07	1.04006e-06	1.12807e-06	67.218	-2.125081e-11
1.58	145			2.58444e-07	3.09667e-07	4.03264e-07	50.154	-2.250726e-11
1.584	146			1.35985e-06	3.60307e-07	1.40677e-06	14.844	-2.112518e-11
1.588	147			-2.32832e-09	2.50993e-07	2.50993e-07	90.534	-1.995253e-11
1.592	148			-1.24961e-06	-2.58327e-07	1.27592e-06	-168.324	-2.522957e-11
1.596	149			7.99078e-07	-6.4704e-07	1.02819e-06	-38.988	-1.986874e-11
1.6	150			3.7579e-07	-7.94655e-07	8.78939e-07	-64.674	-2.208846e-11
1.604	151			6.86854e-07	-8.86856e-07	1.12155e-06	-52.236	-2.045511e-11
1.608	152			-3.2061e-07	-5.84176e-07	6.66132e-07	-118.764	-1.92824e-11
1.612	153			1.05589e-07	3.33765e-07	3.50179e-07	72.438	-2.225599e-11
1.616	154			-9.05716e-08	6.40288e-07	6.46574e-07	98.04	-1.97431e-11
1.62	155			-1.36451e-06	5.93955e-07	1.48803e-06	156.474	-1.823534e-11
1.624	156			-4.01285e-07	9.04667e-07	9.89538e-07	113.916	-2.405691e-11
1.628	157			-3.67874e-07	-4.7649e-07	6.01754e-07	-127.668	-2.204658e-11
1.632	158			4.88133e-07	-4.97096e-08	4.90694e-07	-5.802	-2.108332e-11
1.636	159			-6.12465e-07	-3.6997e-07	7.15492e-07	-148.866	-2.271671e-11
1.64	160			2.13216e-07	-7.64853e-08	2.26487e-07	-19.728	-1.852852e-11
1.644	161			5.53966e-07	-1.86498e-07	5.84525e-07	-18.594	-2.263294e-11
1.648	162			4.80391e-07	-6.09787e-07	7.76261e-07	-51.768	-2.104142e-11
1.652	163			1.42144e-07	5.48436e-07	5.66597e-07	75.468	-1.861227e-11
1.656	164			-8.23061e-08	-2.48374e-07	2.61587e-07	-108.33	-2.535524e-11
1.66	165			4.80974e-07	4.177e-07	6.37086e-07	40.974	-2.242353e-11
1.664	166			7.78356e-07	-3.71716e-07	8.62525e-07	-25.524	-2.531338e-11
1.668	167			-7.04316e-07	1.20491e-07	7.14503e-07	170.286	-2.137648e-11
1.672	168			6.75329e-07	-1.58093e-07	6.93606e-07	-13.164	-2.108331e-11
1.676	169			-6.4413e-07	5.7754e-07	8.65086e-07	138.114	-2.363805e-11
1.68	170			5.39007e-07	7.20614e-07	8.99894e-07	53.202	-2.225598e-11
1.684	171			-2.67873e-07	6.32546e-07	6.86912e-07	112.95	-2.091578e-11
1.688	172			6.1526e-08	4.27537e-07	4.31961e-07	81.804	-2.233977e-11
1.692	173			2.89003e-07	-7.91686e-07	8.42676e-07	-69.942	-2.309362e-11
1.696	174			3.35569e-07	3.38072e-07	4.76373e-07	45.216	-1.802592e-11
1.7	175			8.71954e-07	6.37028e-07	1.07988e-06	36.156	-2.116708e-11
1.704	176			6.113e-07	-1.74857e-07	6.35748e-07	-15.954	-2.133459e-11
1.708	177			-3.23054e-07	2.48549e-07	4.07455e-07	142.41	-1.819348e-11
1.712	178			8.04434e-08	6.64735e-07	6.69625e-07	83.094	-2.133461e-11
1.716	179			-8.74284e-08	-5.28646e-07	5.35747e-07	-99.39	-2.284236e-11
1.72	180			-6.92558e-07	2.89876e-07	7.5065e-07	157.278	-2.196284e-11
1.724	181			6.03151e-07	1.19233e-06	1.33622e-06	63.162	-2.338676e-11
1.728	182			1.35625e-07	5.12464e-07	5.30159e-07	75.174	-2.368e-11
1.732	183			1.01561e-06	-2.631e-08	1.01585e-06	-1.482	-2.041319e-11
1.736	184			-9.69744e-08	-9.9466e-07	9.99316e-07	-95.568	-2.305176e-11
1.74	185			1.25019e-06	-5.62872e-07	1.37103e-06	-24.24	-2.280046e-11
1.744	186			4.83965e-06	3.61355e-07	4.85269e-06	4.272	-2.087389e-11
1.748	187			7.46365e-06	-5.3272e-07	7.48274e-06	-4.08	-2.481076e-11
1.752	188			1.28048e-05	-8.06529e-07	1.283e-05	-3.6	-2.162776e-11
1.756	189			2.01819e-05	-2.1849e-06	2.02992e-05	-6.174	-2.665359e-11
1.76	190			3.4882e-05	-1.80677e-06	3.49286e-05	-2.964	-2.372187e-11
1.764	191			3.80485e-05	-2.57792e-06	3.8136e-05	-3.876	-1.69789e-11
1.768	192			5.96608e-05	-1.92226e-06	5.96906e-05	-1.842	-2.25073e-11
1.772	193			6.89481e-05	-2.28362e-06	6.89854e-05	-1.896	-2.070635e-11
1.776	194			0.000105493	-2.9579e-06	0.00010553	-1.602	-2.04132e-11
1.78	195			0.000131764	-4.53743e-06	0.000131846	-1.968	-2.007815e-11
1.784	196			0.000157238	-4.82055e-06	0.000157312	-1.758	-2.464333e-11
1.788	197			0.000189335	-4.97702e-06	0.000189395	-1.494	-2.250728e-11
1.792	198			0.000225932	-6.46713e-06	0.000226022	-1.638	-2.661167e-11
1.796	199			0.000238211	-7.98708e-06	0.00023836	-1.914	-2.367997e-11
1.8	200			0.000281068	-8.13609e-06	0.000281187	-1.656	-2.200466e-11
1.804	201			0.000287535	-8.67253e-06	0.000287654	-1.728	-2.527146e-11
1.808	202			0.000292959	-1.07885e-05	0.000293138	-2.106	-2.066451e-11
1.812	203			0.000277223	-9.86463e-06	0.000277402	-2.034	-2.439196e-11
1.816	204			0.000244022	-7.92748e-06	0.000244142	-1.854	-2.213038e-11
1.82	205			0.000213177	-6.37773e-06	0.000213296	-1.71	-2.221412e-11
1.824	206			0.000175298	-4.85781e-06	0.000175358	-1.578	-2.535519e-11
1.828	207			0.000131727	-5.54326e-06	0.000131846	-2.406	-2.384748e-11
1.832	208			8.4341e-05	-1.51993e-06	8.43708e-05	-1.032	-2.070637e-11
1.836	209			5.0925e-05	-9.68583e-07	5.09324e-05	-1.086	-2.531335e-11
1.84	210			2.70979e-05	-1.08034e-06	2.71128e-05	-2.28	-1.672763e-11
1.844	211			1.57916e-05	-1.66149e-06	1.58773e-05	-6.0	-2.460138e-11
1.848	212			6.48948e-06	4.26548e-07	6.50252e-06	3.774	-2.23816e-11
1.852	213			2.73438e-06	-2.5239e-07	2.74555e-06	-5.268	-2.275858e-11
1.856	214			2.05731e-06	-1.11759e-07	2.06103e-06	-3.096	-2.233977e-11
1.86	215			1.66475e-06	-4.87085e-07	1.73413e-06	-16.302	-2.20885e-11
1.864	216			-6.6101e-07	-1.39699e-09	6.60777e-07	-179.898	-2.644418e-11
1.868	217			-9.08974e-07	-4.06408e-07	9.95475e-07	-155.916	-2.280043e-11
1.872	218			-4.57165e-07	5.9279e-07	7.48554e-07	127.638	-2.52715e-11
1.876	219			-5.11183e-07	-8.276e-07	9.72541e-07	-121.704	-2.263292e-11
1.88	220			3.71134e-07	5.76842e-07	6.85923e-07	57.24	-2.409883e-11
1.884	221			-8.06995e-07	3.55069e-07	8.81617e-07	156.246	-2.250727e-11
1.888	222			4.25965e-07	1.04262e-06	1.12633e-06	67.776	-2.116706e-11
1.892	223			1.3318e-07	4.34813e-07	4.5472e-07	72.972	-2.141836e-11
1.896	224			-1.00001e-07	-6.21661e-07	6.29461e-07	-99.138	-2.108329e-11
1.9	225			7.12349e-07	-3.6054e-07	7.98263e-07	-26.838	-2.04132e-11
1.904	226			-7.01988e-07	-1.89991e-07	7.27134e-07	-164.862	-2.267485e-11
1.908	227			-1.01876e-06	9.05598e-07	1.363e-06	138.366	-2.259105e-11
1.912	228			3.85104e-07	-1.82074e-07	4.25965e-07	-25.296	-1.92405e-11
1.916	229			-5.84641e-07	4.69156e-08	5.86388e-07	175.41	-2.300986e-11
1.92	230			5.879e-08	-3.06116e-07	3.11646e-07	-79.122	-2.150211e-11
1.924	231			-7.33421e-08	7.40463e-07	7.44072e-07	95.658	-2.150213e-11
1.928	232			-6.43548e-07	1.3481e-07	6.57517e-07	168.162	-2.137649e-11
1.932	233			8.4809e-08	2.0722e-07	2.23926e-07	67.722	-2.032943e-11
1.936	234			-3.52275e-07	-7.63921e-07	8.41221e-07	-114.756	-1.831913e-11
1.94	235			-5.05246e-07	8.7859e-07	1.01352e-06	119.898	-2.351249e-11
1.944	236			-7.62175e-07	5.24687e-07	9.25273e-07	145.452	-2.2256e-11
1.948	237			8.79987e-07	-2.65662e-07	9.19335e-07	-16.8	-2.309362e-11
1.952	238			-4.40285e-07	3.41332e-07	5.57051e-07	142.206	-2.393129e-11
1.956	239			-5.0478e-07	7.76959e-07	9.26553e-07	123.012	-1.882169e-11
1.96	240			-4.76373e-07	1.01468e-06	1.12085e-06	115.14	-2.388936e-11
1.964	241			3.51343e-07	6.67995e-07	7.54841e-07	62.256	-2.066452e-11
