variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.0	0			0.00846869	-0.000361444	0.00847632	-2.436	0.00138093	-6.48503e-05	0.00138284	-2.682	0.00848109	-0.000391962	0.00849062	-2.64	0.00874239	-0.000411035	0.00875193	-2.688	-2.27165e-11
1.0	1			0.00847727	-0.00037575	0.0084849	-2.532	0.00139523	-6.72345e-05	0.00139714	-2.748	0.00848776	-0.000382425	0.00849634	-2.574	0.00874144	-0.000410082	0.00875098	-2.682	-2.150195e-11
2.0	2			0.00846964	-0.000361444	0.00847727	-2.442	0.00138856	-5.53133e-05	0.00138951	-2.268	0.00846583	-0.00036812	0.00847346	-2.484	0.00872809	-0.000398638	0.00873667	-2.61	-2.045492e-11
3.0	3			0.00846392	-0.000363352	0.0084725	-2.46	0.00138713	-6.00817e-05	0.00138856	-2.478	0.0084725	-0.00036812	0.00848013	-2.484	0.00873953	-0.000408174	0.00874907	-2.67	-2.087372e-11
4.0	4			0.0084725	-0.000370027	0.00848013	-2.502	0.00137568	-5.10218e-05	0.00137664	-2.106	0.0084601	-0.00035	0.00846773	-2.37	0.00874239	-0.000399591	0.00875193	-2.61	-2.166949e-11
5.0	5			0.00845343	-0.000376703	0.00846201	-2.55	0.00137234	-6.48503e-05	0.00137378	-2.694	0.00845438	-0.000366213	0.00846201	-2.472	0.00873858	-0.000408174	0.00874811	-2.67	-2.166945e-11
6.0	6			0.00844771	-0.000366213	0.00845534	-2.478	0.00136328	-5.19755e-05	0.00136424	-2.172	0.00844771	-0.00037575	0.00845534	-2.544	0.00873381	-0.000407221	0.00874335	-2.664	-2.083185e-11
7.0	7			0.00845724	-0.000370027	0.00846583	-2.502	0.00137282	-5.76975e-05	0.00137425	-2.406	0.00845534	-0.000370981	0.00846297	-2.508	0.00874239	-0.000405313	0.00875193	-2.652	-2.175325e-11
8.0	8			0.00845152	-0.000369074	0.0084601	-2.496	0.0013795	-7.00955e-05	0.0013814	-2.904	0.00845915	-0.000377657	0.00846773	-2.556	0.0087319	-0.000410082	0.00874144	-2.682	-2.09994e-11
9.0	9			0.00844866	-0.000370981	0.00845724	-2.514	0.00136948	-5.9128e-05	0.00137091	-2.454	0.00846392	-0.000377657	0.0084725	-2.55	0.00873286	-0.000405313	0.00874239	-2.652	-2.259088e-11
10.0	10			0.0084601	-0.000364305	0.00846773	-2.466	0.00137187	-6.34198e-05	0.00137282	-2.64	0.00844389	-0.000364305	0.00845152	-2.466	0.00873667	-0.000410082	0.00874525	-2.682	-2.326097e-11
11.0	11			0.00845343	-0.000362398	0.00846201	-2.454	0.00138284	-6.48503e-05	0.00138474	-2.676	0.00846678	-0.000366213	0.00847441	-2.472	0.00874144	-0.000399591	0.00875002	-2.616	-2.380546e-11
12.0	12			0.0084601	-0.000365259	0.00846773	-2.466	0.00137902	-6.48503e-05	0.00138045	-2.682	0.00847536	-0.000366213	0.00848299	-2.466	0.00873476	-0.000397684	0.00874335	-2.604	-2.196267e-11
13.0	13			0.00846964	-0.000373842	0.00847727	-2.52	0.00139571	-6.15125e-05	0.00139714	-2.514	0.00846869	-0.00037575	0.00847632	-2.538	0.00873095	-0.000392916	0.00873953	-2.568	-2.137633e-11
14.0	14			0.00847918	-0.000356676	0.00848681	-2.406	0.00139952	-5.43597e-05	0.00140048	-2.22	0.00848681	-0.000379564	0.00849539	-2.556	0.0087319	-0.000409128	0.00874144	-2.682	-2.175324e-11
15.0	15			0.00847727	-0.000359537	0.00848395	-2.424	0.00139046	-6.38966e-05	0.0013919	-2.622	0.00849444	-0.000376703	0.00850302	-2.538	0.00875002	-0.000408174	0.0087586	-2.67	-2.192078e-11
16.0	16			0.00847059	-0.000362398	0.00847918	-2.448	0.00139714	-5.9128e-05	0.00139857	-2.418	0.00848204	-0.000370981	0.00848967	-2.502	0.00874144	-0.000407221	0.00875098	-2.664	-1.882161e-11
17.0	17			0.00844485	-0.000370027	0.00845343	-2.502	0.00137044	-6.10356e-05	0.00137187	-2.55	0.00845343	-0.000373842	0.00846201	-2.526	0.0087319	-0.000401499	0.00874144	-2.628	-2.292593e-11
18.0	18			0.0084458	-0.000365259	0.00845343	-2.472	0.00136472	-6.24661e-05	0.00136615	-2.598	0.00845343	-0.000371935	0.00846201	-2.514	0.00874144	-0.000401499	0.00875098	-2.628	-2.280032e-11
19.0	19			0.00845057	-0.00036812	0.00845915	-2.49	0.00137473	-6.38966e-05	0.00137616	-2.652	0.00845629	-0.000374796	0.00846392	-2.532	0.00873476	-0.000402452	0.00874335	-2.634	-2.259091e-11
20.0	20			0.0084458	-0.000370981	0.00845343	-2.514	0.00136996	-6.8665e-05	0.00137187	-2.868	0.00844389	-0.000373842	0.00845248	-2.532	0.00874048	-0.000411035	0.00875002	-2.688	-2.183704e-11
21.0	21			0.00844008	-0.000376703	0.00844866	-2.55	0.0013814	-7.43871e-05	0.00138331	-3.066	0.00844866	-0.000376703	0.00845724	-2.55	0.00873381	-0.000408174	0.00874335	-2.67	-2.263283e-11
22.0	22			0.00844294	-0.000372889	0.00845057	-2.526	0.00137378	-5.19755e-05	0.00137473	-2.154	0.00844485	-0.000370981	0.00845343	-2.514	0.00872904	-0.000408174	0.00873858	-2.67	-2.204644e-11
23.0	23			0.00844675	-0.000370027	0.00845438	-2.508	0.00137282	-6.34198e-05	0.00137425	-2.628	0.00845057	-0.000372889	0.0084582	-2.52	0.00873667	-0.000415804	0.00874621	-2.724	-2.120881e-11
24.0	24			0.00845343	-0.000354769	0.0084601	-2.4	0.00138617	-5.96049e-05	0.00138713	-2.448	0.00846487	-0.000365259	0.00847346	-2.466	0.00873667	-0.000399591	0.00874621	-2.616	-2.196267e-11
25.0	25			0.00844389	-0.000366213	0.00845248	-2.478	0.00137711	-6.00817e-05	0.00137854	-2.496	0.00845534	-0.00036812	0.00846297	-2.49	0.00871664	-0.000410082	0.00872618	-2.694	-2.041307e-11
26.0	26			0.00844675	-0.000366213	0.00845534	-2.478	0.00138379	-6.15125e-05	0.00138522	-2.538	0.00847155	-0.000370981	0.00848013	-2.502	0.00872713	-0.000403406	0.00873667	-2.646	-2.049685e-11
27.0	27			0.00844771	-0.000364305	0.00845534	-2.466	0.00137854	-6.48503e-05	0.00138045	-2.682	0.00844961	-0.000370981	0.00845724	-2.514	0.00872904	-0.000408174	0.00873858	-2.67	-2.087375e-11
28.0	28			0.00842386	-0.00035	0.00843149	-2.376	0.00136519	-5.10218e-05	0.00136615	-2.136	0.00845057	-0.000372889	0.00845915	-2.526	0.00873476	-0.000408174	0.00874335	-2.676	-2.020366e-11
29.0	29			0.00844103	-0.000370981	0.00844866	-2.514	0.00137854	-6.34198e-05	0.0013795	-2.628	0.00845057	-0.000374796	0.0084582	-2.538	0.00871474	-0.000421526	0.00872427	-2.76	-1.91985e-11
30.0	30			0.00843912	-0.000361444	0.00844675	-2.448	0.00137711	-6.00817e-05	0.00137854	-2.496	0.00843912	-0.000373842	0.00844675	-2.532	0.00871664	-0.00039673	0.00872523	-2.598	-2.338666e-11
