variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.0	0			-0.000128509	-0.000569824	0.000583891	-102.696	-0.0743947	0.0109673	0.0751958	171.612	0.000498775	0.00280382	0.00284769	79.902	-1.840307e-11
0.02	1			-0.00014639	-0.000555996	0.000574593	-104.736	-0.0743642	0.0109482	0.0751615	171.624	0.000534061	0.00278474	0.00283529	79.134	-1.86962e-11
0.04	2			-0.000133992	-0.000555519	0.000571255	-103.548	-0.0743489	0.0109368	0.0751462	171.63	0.000554089	0.00277902	0.00283433	78.714	-2.062283e-11
0.06	3			0.000201703	-0.000738624	0.000765566	-74.712	-0.074017	0.0111046	0.074841	171.468	0.000960354	0.00288297	0.00303842	71.562	-1.894753e-11
0.08	4			0.00101925	-0.000882391	0.00134803	-40.878	-0.0738111	0.0112267	0.0746579	171.348	0.00179005	0.00279714	0.00332166	57.384	-2.732394e-11
0.1	5			0.00311638	-0.00120474	0.00334097	-21.132	-0.0725484	0.0112763	0.0734181	171.162	0.0043259	0.00242521	0.00496009	29.28	-2.652815e-11
0.12	6			0.00957209	-0.00251867	0.00989872	-14.742	-0.0680432	0.0113373	0.0689778	170.538	0.0109273	0.00131036	0.0110064	6.84	-1.517816e-11
0.14	7			0.00985819	-0.00263597	0.0102044	-14.97	-0.0632405	0.0106774	0.0641332	170.412	0.0117446	0.00104237	0.0117913	5.07	-1.898942e-11
0.16	8			0.00794798	-0.00235464	0.0082894	-16.494	-0.0619929	0.0104981	0.0628743	170.388	0.010418	0.00126363	0.0104943	6.918	-1.99527e-11
0.18	9			0.00710395	-0.00220205	0.00743678	-17.22	-0.0621912	0.0106774	0.0630994	170.256	0.010891	0.00116921	0.010954	6.126	-2.15861e-11
0.2	10			0.0151044	-0.00383665	0.0155841	-14.25	-0.0626149	0.0114823	0.0636563	169.608	0.0180532	-0.00017357	0.0180541	-0.546	-2.514605e-11
0.22	11			0.0244733	-0.00616649	0.0252382	-14.136	-0.0568087	0.0115243	0.0579646	168.528	0.0295259	-0.00264741	0.0296441	-5.124	-1.857065e-11
0.24	12			0.0128422	-0.00358011	0.0133324	-15.57	-0.0507052	0.00976187	0.0516322	169.098	0.0207311	-0.00089455	0.0207521	-2.466	-1.555514e-11
0.26	13			0.00572971	-0.0021248	0.00610927	-20.334	-0.0491221	0.00920492	0.0499728	169.386	0.0159436	3.05178e-05	0.0159436	0.114	-2.347078e-11
0.28	14			0.00214674	-0.00136662	0.00254442	-32.472	-0.0489466	0.00909048	0.0497782	169.476	0.0143147	0.000297548	0.0143185	1.194	-1.915698e-11
0.3	15			0.000920776	-0.00107146	0.0014124	-49.314	-0.0489886	0.00904852	0.0498126	169.53	0.0136395	0.00036812	0.0136433	1.554	-1.563887e-11
0.32	16			0.00028372	-0.000912193	0.000955109	-72.702	-0.0490115	0.009018	0.0498316	169.572	0.0129777	0.000448229	0.0129853	1.98	-1.911505e-11
0.34	17			-0.000117541	-0.00081468	0.000822786	-98.208	-0.0490153	0.00899893	0.0498316	169.596	0.012373	0.000526432	0.0123845	2.442	-1.706284e-11
0.36	18			-0.000190259	-0.000791553	0.000813726	-103.512	-0.0490077	0.00897986	0.0498202	169.614	0.0118943	0.000595096	0.0119095	2.874	-1.953391e-11
0.38	19			-0.000200034	-0.000806097	0.000830177	-103.926	-0.0489962	0.00899512	0.0498126	169.596	0.0113869	0.000684742	0.0114079	3.45	-1.982704e-11
0.4	20			-0.00019455	-0.000793222	0.000816587	-103.764	-0.0490077	0.0089913	0.049824	169.602	0.0110379	0.00073624	0.0110627	3.816	-1.949201e-11
0.42	21			-0.000197888	-0.000785355	0.000809673	-104.136	-0.0490077	0.00898367	0.0498202	169.608	0.0106354	0.000795368	0.010666	4.284	-1.609955e-11
0.44	22			-0.000196219	-0.000778202	0.000802282	-104.148	-0.0490038	0.00897604	0.0498164	169.614	0.0102711	0.000844959	0.0103055	4.71	-1.706284e-11
0.46	23			-0.000188352	-0.000772718	0.000794891	-103.686	-0.0490115	0.00897223	0.0498202	169.626	0.00999838	0.000883106	0.0100365	5.058	-1.593205e-11
0.48	24			-0.000178338	-0.000765804	0.00078607	-103.098	-0.0490191	0.00897223	0.0498316	169.626	0.00978094	0.000905994	0.00982291	5.298	-1.974329e-11
0.5	25			-0.000173331	-0.000792507	0.000811104	-102.324	-0.0490191	0.00900275	0.0498354	169.59	0.00964934	0.000967029	0.00969702	5.73	-1.869625e-11
0.52	26			-0.000189067	-0.000750069	0.000773434	-104.142	-0.0490077	0.00894552	0.0498126	169.656	0.00956732	0.000911716	0.00961119	5.454	-2.196304e-11
0.54	27			-0.00020218	-0.000756983	0.000783447	-104.94	-0.0489886	0.00895315	0.0498011	169.638	0.00949293	0.000934605	0.00953871	5.622	-2.003647e-11
0.56	28			-0.000201226	-0.000766043	0.000791792	-104.718	-0.0489886	0.00897604	0.0498049	169.614	0.0094319	0.000957493	0.00947958	5.802	-1.710472e-11
0.58	29			-0.000180007	-0.000757936	0.000778679	-103.35	-0.0490267	0.00897223	0.0498354	169.626	0.0094071	0.000938419	0.00945288	5.706	-2.06228e-11
0.6	30			-0.000183345	-0.000751976	0.000773672	-103.692	-0.0490191	0.00895697	0.0498316	169.638	0.00943381	0.00092316	0.00947958	5.598	-1.643462e-11
