variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.6	0			2.13833e-05	-5.28995e-07	2.13907e-05	-1.41	-3.63124e-06	-1.41562e-07	3.6331e-06	-177.78	2.21656e-05	1.8105e-06	2.22326e-05	4.674	-1.961764e-11
0.59	1			2.09586e-05	-4.02333e-07	2.09586e-05	-1.092	-4.66968e-06	-5.15956e-07	4.69762e-06	-173.7	2.27095e-05	1.207e-06	2.27393e-05	3.06	-1.480124e-11
0.58	2			2.18676e-05	-8.79172e-07	2.18899e-05	-2.286	-4.27853e-06	2.88712e-07	4.28784e-06	176.13	2.25605e-05	8.64271e-07	2.25754e-05	2.196	-2.070658e-11
0.57	3			2.20911e-05	-2.98025e-08	2.20911e-05	-0.072	-3.88458e-06	3.94883e-07	3.9032e-06	174.186	2.14056e-05	1.24425e-06	2.14429e-05	3.33	-1.894753e-11
0.56	4			2.1279e-05	-1.93716e-07	2.1279e-05	-0.522	-4.96398e-06	-8.04666e-07	5.02824e-06	-170.79	2.22252e-05	7.59963e-07	2.22326e-05	1.956	-1.919882e-11
0.55	5			2.27691e-05	-1.1623e-06	2.27989e-05	-2.916	-5.18843e-06	-8.42851e-07	5.25641e-06	-170.778	2.35141e-05	1.26661e-06	2.35514e-05	3.102	-1.869626e-11
0.54	6			2.18899e-05	-6.40754e-07	2.18974e-05	-1.674	-5.37004e-06	-1.22004e-06	5.50601e-06	-167.208	2.28063e-05	1.53483e-06	2.28585e-05	3.864	-2.196303e-11
0.53	7			2.19346e-05	-1.11759e-06	2.19644e-05	-2.904	-4.64453e-06	-6.54723e-07	4.68924e-06	-171.984	2.28883e-05	6.78006e-07	2.29032e-05	1.704	-1.852871e-11
0.52	8			2.21432e-05	-1.25916e-06	2.2173e-05	-3.24	-4.01869e-06	-3.66012e-07	4.03359e-06	-174.792	2.25828e-05	5.886e-07	2.25903e-05	1.506	-2.200493e-11
0.51	9			2.14652e-05	1.71364e-07	2.14652e-05	0.462	-4.90624e-06	-1.46219e-07	4.90717e-06	-178.302	2.22848e-05	5.06643e-07	2.22923e-05	1.302	-2.016212e-11
0.5	10			2.17633e-05	-1.00584e-06	2.17856e-05	-2.628	-4.21054e-06	3.61355e-07	4.22451e-06	175.086	2.21283e-05	1.70619e-06	2.21954e-05	4.428	-2.221431e-11
