variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.5	0			-0.00019157	-0.000765804	0.000789288	-104.04	-0.0490077	0.00897223	0.0498164	169.626	0.0097447	0.00092316	0.00978857	5.412	-2.246526e-11
0.495	1			-0.00018716	-0.000766996	0.000789408	-103.704	-0.0490115	0.00897223	0.0498202	169.626	0.00977141	0.000918392	0.00981528	5.37	-1.99105e-11
0.49	2			-0.000191928	-0.000767235	0.000790719	-104.046	-0.0490115	0.00896841	0.0498202	169.626	0.0098334	0.000908855	0.00987536	5.286	-2.200457e-11
0.485	3			-0.000188232	-0.000768546	0.000791077	-103.758	-0.0490115	0.00896841	0.0498202	169.626	0.00984675	0.000907902	0.00988871	5.274	-2.217214e-11
0.48	4			-0.00019157	-0.000769738	0.000792984	-103.974	-0.0490115	0.00896841	0.0498202	169.626	0.00988489	0.000903133	0.0099259	5.22	-1.869594e-11
0.475	5			-0.000188352	-0.000771049	0.00079358	-103.728	-0.0490077	0.00897604	0.0498202	169.62	0.00993639	0.000896458	0.0099774	5.154	-2.267462e-11
0.47	6			-0.000192286	-0.000771526	0.00079501	-103.992	-0.0490115	0.00897604	0.049824	169.62	0.00998312	0.000890736	0.0100232	5.1	-2.3261e-11
0.465	7			-0.00018704	-0.000771884	0.000794057	-103.62	-0.0490115	0.00897223	0.0498202	169.626	0.010047	0.000878338	0.0100852	5.004	-1.64343e-11
0.46	8			-0.000191451	-0.000773791	0.000796918	-103.896	-0.0490115	0.00897604	0.049824	169.62	0.0101262	0.000867847	0.0101634	4.902	-2.309352e-11
0.455	9			-0.000189544	-0.00077403	0.000796799	-103.752	-0.0490077	0.00897223	0.0498164	169.626	0.0102158	0.000854496	0.0102511	4.788	-2.166949e-11
0.45	10			-0.000192047	-0.000776175	0.00079954	-103.896	-0.0490038	0.00897986	0.0498164	169.614	0.0102873	0.000845913	0.0103217	4.698	-2.095749e-11
