variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.45	0			2.21656e-05	-1.35601e-06	2.22103e-05	-3.492	-4.97329e-06	-8.56821e-08	4.97143e-06	-179.022	2.29405e-05	9.01524e-07	2.29628e-05	2.262	-1.643443e-11
0.445	1			2.19197e-05	-4.47037e-07	2.19272e-05	-1.17	-4.43871e-06	1.37837e-07	4.43964e-06	178.218	2.3015e-05	2.27989e-06	2.31267e-05	5.658	-2.016192e-11
0.44	2			2.15248e-05	-1.21445e-06	2.15546e-05	-3.228	-5.05525e-06	-4.7032e-07	5.07667e-06	-174.69	2.20166e-05	6.63105e-07	2.20315e-05	1.734	-1.371216e-11
0.435	3			2.17558e-05	-7.67413e-07	2.17707e-05	-1.998	-4.81776e-06	-1.11666e-06	4.94442e-06	-166.95	2.23966e-05	1.34111e-06	2.24338e-05	3.444	-2.125081e-11
0.43	4			2.18378e-05	-3.20377e-07	2.18378e-05	-0.822	-4.93324e-06	-4.19097e-07	4.95094e-06	-175.146	2.31044e-05	1.41562e-06	2.31491e-05	3.516	-1.986874e-11
0.425	5			2.20091e-05	-6.40754e-07	2.20166e-05	-1.662	-5.36724e-06	-4.47037e-08	5.36631e-06	-179.526	2.22997e-05	5.28995e-07	2.23072e-05	1.368	-1.903113e-11
0.42	6			2.14727e-05	-1.32621e-06	2.15174e-05	-3.516	-4.3521e-06	-3.70668e-07	4.367e-06	-175.128	2.28063e-05	4.54487e-07	2.28138e-05	1.152	-2.083202e-11
0.415	7			2.31789e-05	-3.87432e-07	2.31789e-05	-0.954	-5.87574e-06	-4.37723e-07	5.89064e-06	-175.74	2.25307e-05	1.57953e-06	2.25828e-05	4.026	-1.760712e-11
0.41	8			2.29777e-05	-1.10269e-06	2.30001e-05	-2.742	-4.98167e-06	-5.58796e-08	4.98074e-06	-179.364	2.2851e-05	1.76579e-06	2.29181e-05	4.422	-2.539713e-11
0.405	9			2.20985e-05	-6.85457e-07	2.21134e-05	-1.764	-4.37725e-06	-3.78119e-07	4.39215e-06	-175.062	2.27244e-05	1.52738e-06	2.27765e-05	3.858	-2.259102e-11
0.4	10			2.29777e-05	-8.94074e-08	2.29777e-05	-0.216	-4.52067e-06	-2.74742e-07	4.52812e-06	-176.532	2.3842e-05	1.28896e-06	2.38718e-05	3.102	-1.790031e-11
0.395	11			2.26126e-05	-1.49012e-06	2.26648e-05	-3.762	-4.29808e-06	-4.86154e-07	4.32509e-06	-173.556	2.32385e-05	7.30161e-07	2.32459e-05	1.806	-1.798411e-11
0.39	12			2.30895e-05	-1.02074e-06	2.31118e-05	-2.526	-4.34931e-06	3.05476e-07	4.35955e-06	175.974	2.39537e-05	2.01167e-06	2.40431e-05	4.806	-1.877979e-11
0.385	13			2.33651e-05	-1.01329e-06	2.338e-05	-2.466	-4.97329e-06	-4.90811e-07	4.99657e-06	-174.372	2.39984e-05	1.32621e-06	2.40431e-05	3.18	-1.965941e-11
0.38	14			2.32608e-05	-1.2517e-06	2.32981e-05	-3.066	-5.07201e-06	-3.28759e-07	5.08133e-06	-176.298	2.41027e-05	1.19955e-06	2.41325e-05	2.868	-1.965932e-11
0.375	15			2.44604e-05	-1.64659e-06	2.45125e-05	-3.834	-5.24244e-06	-4.47037e-08	5.24151e-06	-179.52	2.37451e-05	1.69129e-06	2.38122e-05	4.08	-1.974311e-11
0.37	16			2.32608e-05	-6.25852e-07	2.32683e-05	-1.524	-5.05432e-06	3.53905e-08	5.05339e-06	179.592	2.34322e-05	7.59963e-07	2.34471e-05	1.872	-2.506206e-11
0.365	17			2.3611e-05	-7.82315e-07	2.36185e-05	-1.89	-4.41636e-06	-6.3144e-07	4.46013e-06	-171.864	2.46988e-05	9.46227e-07	2.47137e-05	2.196	-2.204656e-11
0.36	18			2.40282e-05	-8.86623e-07	2.40431e-05	-2.094	-4.98912e-06	-3.73462e-07	5.00216e-06	-175.728	2.44008e-05	1.1325e-06	2.44306e-05	2.658	-2.02457e-11
0.355	19			2.3544e-05	3.05476e-07	2.3544e-05	0.75	-5.46876e-06	7.78589e-07	5.5237e-06	171.9	2.3909e-05	1.45287e-06	2.39537e-05	3.492	-2.267483e-11
0.35	20			2.38271e-05	-7.67413e-07	2.3842e-05	-1.824	-4.91089e-06	5.81149e-07	4.94442e-06	173.25	2.57642e-05	7.07809e-07	2.57717e-05	1.584	-2.037133e-11
0.345	21			2.33726e-05	-4.32135e-07	2.338e-05	-1.044	-4.88295e-06	5.68109e-08	4.88202e-06	179.334	2.50639e-05	1.35601e-06	2.51011e-05	3.108	-2.070641e-11
0.34	22			2.4736e-05	2.98025e-07	2.4736e-05	0.696	-5.18377e-06	-4.51693e-07	5.2024e-06	-175.026	2.45051e-05	3.35278e-07	2.45051e-05	0.792	-2.045509e-11
0.335	23			2.48031e-05	-9.38777e-07	2.48255e-05	-2.154	-4.97888e-06	-9.25738e-07	5.06363e-06	-169.47	2.57344e-05	4.02333e-07	2.57344e-05	0.906	-1.890546e-11
0.33	24			2.50117e-05	-1.37091e-06	2.5049e-05	-3.126	-5.11858e-06	-7.41336e-07	5.17073e-06	-171.768	2.5414e-05	1.32621e-06	2.54513e-05	2.988	-2.120898e-11
0.325	25			2.52352e-05	-5.9605e-07	2.52427e-05	-1.344	-4.85595e-06	2.56116e-07	4.86153e-06	176.976	2.63156e-05	8.41919e-07	2.63305e-05	1.842	-2.058071e-11
0.32	26			2.6472e-05	1.78815e-07	2.6472e-05	0.39	-5.28994e-06	6.56586e-07	5.32906e-06	172.914	2.5645e-05	1.07289e-06	2.56674e-05	2.394	-2.271672e-11
0.315	27			2.55184e-05	3.5763e-07	2.55184e-05	0.81	-5.5088e-06	-1.38768e-07	5.50973e-06	-178.56	2.57121e-05	9.16425e-07	2.5727e-05	2.046	-2.133459e-11
0.31	28			2.59132e-05	-3.72531e-07	2.59132e-05	-0.81	-4.45827e-06	1.21073e-07	4.45827e-06	178.44	2.79249e-05	5.81149e-07	2.79323e-05	1.2	-1.928236e-11
0.305	29			2.58387e-05	-7.89765e-07	2.58462e-05	-1.746	-6.24827e-06	-5.98844e-07	6.27621e-06	-174.534	2.69787e-05	1.05799e-06	2.69936e-05	2.25	-2.18791e-11
0.3	30			2.65838e-05	-1.57953e-06	2.66285e-05	-3.39	-5.61777e-06	-3.66012e-07	5.62894e-06	-176.274	2.72469e-05	1.11014e-06	2.72692e-05	2.34	-2.506207e-11
0.295	31			2.66732e-05	-4.09784e-07	2.66732e-05	-0.876	-5.47248e-06	-9.61132e-07	5.55537e-06	-170.04	2.8506e-05	8.86623e-07	2.85209e-05	1.794	-2.238165e-11
0.29	32			2.65987e-05	-9.46227e-07	2.66136e-05	-2.022	-5.10368e-06	7.15259e-07	5.15304e-06	172.02	2.79621e-05	1.06544e-06	2.79845e-05	2.184	-2.250725e-11
0.285	33			2.71053e-05	-7.15259e-07	2.71128e-05	-1.506	-5.22195e-06	-1.16416e-06	5.34861e-06	-167.436	2.7679e-05	1.08779e-06	2.77014e-05	2.262	-1.643445e-11
0.28	34			2.74853e-05	2.98025e-08	2.74853e-05	0.072	-5.99123e-06	-2.04892e-07	5.99402e-06	-178.05	2.76865e-05	2.45871e-07	2.76865e-05	0.51	-2.020379e-11
0.275	35			2.6703e-05	-6.40754e-07	2.67104e-05	-1.374	-5.21264e-06	-6.7335e-07	5.25548e-06	-172.638	2.76194e-05	9.16425e-07	2.76343e-05	1.908	-2.187907e-11
0.27	36			2.70308e-05	-1.51993e-06	2.70681e-05	-3.204	-5.45851e-06	2.56116e-07	5.46317e-06	177.306	2.78578e-05	-1.26661e-07	2.78578e-05	-0.246	-2.053883e-11
0.265	37			2.63752e-05	-3.87432e-07	2.63752e-05	-0.828	-5.84315e-06	-3.21308e-07	5.8506e-06	-176.856	2.73735e-05	3.50179e-07	2.73735e-05	0.738	-1.718831e-11
0.26	38			2.79249e-05	-1.2219e-06	2.79547e-05	-2.502	-4.4145e-06	-1.48081e-06	4.65571e-06	-161.454	2.7232e-05	6.18402e-07	2.7232e-05	1.302	-2.183723e-11
0.255	39			2.74332e-05	-7.37611e-07	2.74406e-05	-1.53	-5.21078e-06	5.57866e-07	5.23965e-06	173.88	2.72096e-05	6.18402e-07	2.72171e-05	1.302	-2.041322e-11
0.25	40			2.76045e-05	-1.65404e-06	2.76492e-05	-3.414	-5.6038e-06	-2.09548e-07	5.60752e-06	-177.864	2.83198e-05	1.00584e-06	2.83421e-05	2.034	-2.032948e-11
0.245	41			2.7761e-05	-1.1623e-06	2.77908e-05	-2.394	-5.18098e-06	-8.7731e-07	5.25362e-06	-170.388	2.7612e-05	8.79172e-07	2.76269e-05	1.824	-1.92824e-11
