variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


12.0	0			0.0126124	-0.00316049	0.0130025	-14.064	-0.0663686	0.0114823	0.0673528	170.184	0.0138913	0.000710491	0.0139094	2.928	-1.777464e-11
11.99	1			0.0126353	-0.00316717	0.0130263	-14.07	-0.0662313	0.0114632	0.0672116	170.178	0.0137091	0.000732426	0.0137282	3.06	-1.852853e-11
11.98	2			0.0126763	-0.00318052	0.0130692	-14.082	-0.0660634	0.011448	0.0670438	170.166	0.013651	0.000734333	0.013671	3.078	-2.598347e-11
11.97	3			0.012661	-0.00317861	0.013053	-14.094	-0.065968	0.0114365	0.0669484	170.16	0.0134831	0.000759128	0.013505	3.222	-2.690482e-11
11.96	4			0.0126858	-0.00318529	0.0130787	-14.088	-0.0658765	0.0114289	0.0668569	170.154	0.0131627	0.00080109	0.0131875	3.486	-2.187906e-11
11.95	5			0.012703	-0.00319006	0.0130969	-14.094	-0.0657811	0.0114098	0.0667577	170.154	0.0130482	0.000813488	0.013073	3.57	-1.676948e-11
11.94	6			0.0127183	-0.00319387	0.0131131	-14.094	-0.0656629	0.0113946	0.0666432	170.154	0.0128127	0.00084782	0.0128403	3.786	-2.091575e-11
11.93	7			0.0127564	-0.00320531	0.0131531	-14.1	-0.0655103	0.0113755	0.0664868	170.148	0.0126076	0.000873569	0.0126372	3.966	-1.588994e-11
11.92	8			0.0127621	-0.00320722	0.0131589	-14.106	-0.065392	0.0113526	0.0663686	170.148	0.0123444	0.000907902	0.0123778	4.212	-1.928243e-11
11.91	9			0.0126925	-0.00319864	0.0130892	-14.142	-0.0653119	0.0113488	0.0662885	170.142	0.0121794	0.000934605	0.0122157	4.386	-1.898923e-11
11.9	10			0.0125838	-0.0031748	0.0129777	-14.16	-0.0651975	0.0113183	0.0661702	170.148	0.0119019	0.000973705	0.011942	4.68	-2.213027e-11
11.89	11			0.0125237	-0.00316526	0.0129176	-14.184	-0.0650983	0.011303	0.066071	170.148	0.0116711	0.00100327	0.011714	4.914	-1.689511e-11
11.88	12			0.0123864	-0.00314333	0.0127783	-14.238	-0.0649457	0.0112763	0.0659146	170.148	0.0114937	0.00102521	0.0115405	5.1	-1.664383e-11
11.87	13			0.0121756	-0.00310422	0.0125647	-14.304	-0.0648007	0.0112534	0.0657659	170.142	0.0113154	0.00105191	0.011364	5.316	-2.037131e-11
11.86	14			0.0119925	-0.00306799	0.0123778	-14.352	-0.064652	0.0112191	0.0656171	170.154	0.0110798	0.00108147	0.0111323	5.574	-2.016193e-11
11.85	15			0.0116845	-0.00300981	0.012065	-14.442	-0.0644917	0.0111809	0.0654492	170.16	0.0107642	0.00112916	0.0108233	5.994	-1.67276e-11
11.84	16			0.0114985	-0.00297453	0.0118771	-14.502	-0.0643506	0.0111466	0.0653043	170.172	0.0105181	0.00116635	0.010583	6.33	-2.083202e-11
