variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


5.0	0			0.000360491	-0.000280859	0.000456931	-37.92	-0.0258352	0.00236131	0.025942	174.774	0.00384213	0.000236274	0.00384952	3.522	-1.857051e-11
5.01	1			0.000348212	-0.000278832	0.000446083	-38.664	-0.0257913	0.00235368	0.0258962	174.78	0.00370409	0.000245096	0.00371219	3.786	-2.104151e-11
5.02	2			0.000341894	-0.000277521	0.000440242	-39.06	-0.0257455	0.00234796	0.0258504	174.786	0.00355984	0.000255587	0.0035689	4.11	-2.192106e-11
5.03	3			0.00034249	-0.00027776	0.000440957	-39.036	-0.0257074	0.00234033	0.0258123	174.792	0.00340559	0.000265123	0.00341584	4.452	-1.819359e-11
5.04	4			0.000337245	-0.00027621	0.000435831	-39.306	-0.025654	0.0023327	0.0257589	174.804	0.00325395	0.000276806	0.00326563	4.866	-2.233994e-11
5.05	5			0.000337126	-0.000275495	0.000435354	-39.24	-0.0256158	0.00232507	0.0257207	174.81	0.00311662	0.000287773	0.00312997	5.28	-1.802605e-11
5.06	6			0.000324966	-0.00027323	0.000424506	-40.038	-0.0255643	0.00231744	0.0256673	174.816	0.00294687	0.000299932	0.00296213	5.814	-2.07484e-11
5.07	7			0.000292065	-0.000272395	0.000399353	-42.99	-0.0255376	0.00231363	0.0256406	174.822	0.00277616	0.000309946	0.00279333	6.378	-1.831923e-11
5.08	8			0.000338914	-0.000275495	0.000436665	-39.09	-0.025509	0.00230791	0.025612	174.828	0.00265719	0.000318768	0.00267626	6.846	-1.919874e-11
5.09	9			0.000354292	-0.000276567	0.000449421	-37.956	-0.0254785	0.00230028	0.0255796	174.84	0.00251533	0.000328304	0.00253655	7.44	-1.936626e-11
5.1	10			0.000366332	-0.000277402	0.000459554	-37.116	-0.0254518	0.00229265	0.0255529	174.852	0.00234582	0.000342133	0.00237061	8.304	-2.04133e-11
5.11	11			0.000362517	-0.00027919	0.000457527	-37.596	-0.025427	0.00228693	0.0255281	174.858	0.00220825	0.000352385	0.00223614	9.066	-2.083213e-11
5.12	12			0.000371696	-0.000280501	0.000465633	-37.032	-0.0254098	0.00228311	0.0255109	174.864	0.00211026	0.000358583	0.00214054	9.648	-1.991072e-11
5.13	13			0.000383737	-0.000281097	0.000475647	-36.216	-0.0253907	0.0022812	0.0254899	174.864	0.00193978	0.00037265	0.00197531	10.878	-1.991072e-11
5.14	14			0.000383617	-0.000280859	0.000475409	-36.198	-0.0253736	0.00227548	0.0254728	174.87	0.00184441	0.000381948	0.00188351	11.7	-1.965944e-11
5.15	15			0.000404598	-0.000284912	0.000494722	-35.142	-0.0253621	0.00227548	0.0254613	174.87	0.00175381	0.000387909	0.00179625	12.48	-1.568067e-11
5.16	16			0.000418426	-0.000285508	0.000506524	-34.296	-0.0253488	0.00227357	0.025448	174.87	0.00168253	0.000395061	0.00172854	13.218	-2.062274e-11
5.17	17			0.00042689	-0.000288131	0.000514869	-34.008	-0.0253488	0.00227548	0.025448	174.87	0.00162674	0.000400068	0.00167537	13.818	-2.104154e-11
5.18	18			0.000436665	-0.000289204	0.00052369	-33.504	-0.0253392	0.00227548	0.0254403	174.864	0.001575	0.000405075	0.00162626	14.43	-1.882181e-11
5.19	19			0.00041342	-0.000289561	0.000504617	-34.998	-0.0253297	0.0022812	0.0254308	174.852	0.00154758	0.00040889	0.00160075	14.802	-2.196296e-11
5.2	20			0.000413897	-0.000290753	0.000505809	-35.076	-0.0253202	0.00228311	0.0254213	174.846	0.00148559	0.000417473	0.00154305	15.696	-2.187918e-11
5.21	21			0.000461699	-0.000296237	0.000548486	-32.676	-0.0253164	0.00228502	0.0254174	174.84	0.00144769	0.000423433	0.00150824	16.302	-2.455964e-11
5.22	22			0.000483992	-0.000300409	0.000569586	-31.824	-0.0253202	0.00228883	0.0254213	174.834	0.00144959	0.000423433	0.00151039	16.29	-2.250742e-11
5.23	23			0.000497822	-0.000304939	0.000583772	-31.482	-0.0253183	0.00229456	0.0254194	174.822	0.0014279	0.000425579	0.00149012	16.602	-2.213048e-11
5.24	24			0.000516657	-0.000308516	0.000601772	-30.84	-0.0253202	0.00229837	0.0254232	174.81	0.00142504	0.000429871	0.00148845	16.788	-1.97432e-11
