variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


12.0	0			0.00575259	-0.00193311	0.00606826	-18.57	-0.0620806	0.0106431	0.0629811	170.268	0.0091458	0.00139809	0.00925261	8.7	-2.003649e-11
11.99	1			0.0060387	-0.00198652	0.00635722	-18.204	-0.0621035	0.010666	0.0630078	170.25	0.00911528	0.00139809	0.00922209	8.718	-2.183743e-11
11.98	2			0.00622562	-0.00202276	0.0065451	-17.994	-0.0621226	0.0106927	0.0630345	170.232	0.0090695	0.00139809	0.00917631	8.772	-1.57226e-11
11.97	3			0.00652412	-0.00207998	0.00684741	-17.682	-0.0621455	0.0107194	0.0630612	170.208	0.00912672	0.00138284	0.00923163	8.616	-1.626707e-11
11.96	4			0.00679877	-0.00213338	0.00712588	-17.418	-0.062176	0.0107499	0.0630956	170.19	0.00925833	0.00135613	0.00935751	8.334	-1.928257e-11
11.95	5			0.00708011	-0.0021887	0.00741008	-17.172	-0.0622065	0.0107766	0.0631299	170.166	0.00928122	0.00134469	0.00937849	8.244	-2.384774e-11
11.94	6			0.0075188	-0.00227357	0.00785547	-16.818	-0.0622447	0.0108147	0.0631719	170.142	0.00947386	0.00130654	0.00956351	7.86	-1.877998e-11
11.93	7			0.00796038	-0.0023575	0.00830275	-16.494	-0.0622752	0.0108529	0.0632138	170.112	0.00958449	0.00128175	0.00966841	7.626	-2.640248e-11
11.92	8			0.00838953	-0.00244524	0.00873858	-16.242	-0.0622942	0.0108834	0.0632329	170.088	0.00980955	0.00123978	0.00988966	7.212	-1.790045e-11
11.91	9			0.00889975	-0.00254346	0.00925547	-15.948	-0.0623248	0.0109254	0.063271	170.058	0.0100365	0.00119592	0.010109	6.798	-2.52717e-11
11.9	10			0.00940233	-0.00264455	0.00976664	-15.702	-0.06234	0.0109635	0.0632939	170.022	0.0104008	0.00113297	0.0104619	6.216	-2.301005e-11
11.89	11			0.00985724	-0.00273801	0.0102301	-15.522	-0.0623438	0.0110055	0.0633016	169.986	0.0106202	0.0010872	0.0106755	5.85	-2.430844e-11
11.88	12			0.0102292	-0.00281335	0.0106097	-15.378	-0.0623477	0.011036	0.063313	169.956	0.0108395	0.00104142	0.010891	5.49	-1.743978e-11
11.87	13			0.0106516	-0.00289823	0.0110388	-15.216	-0.0623629	0.0110856	0.0633359	169.92	0.011158	0.000980385	0.0112019	5.028	-1.379604e-11
11.86	14			0.011057	-0.00298406	0.0114518	-15.102	-0.0623667	0.0111313	0.0633512	169.878	0.0115414	0.000907902	0.0115777	4.5	-2.472724e-11
11.85	15			0.0114976	-0.00307752	0.0119019	-14.982	-0.0623477	0.0111809	0.0633397	169.83	0.0119687	0.000827793	0.0119973	3.96	-1.664401e-11
