variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


1.0	0			0.000857476	-9.41162e-05	0.000862602	-6.264	-0.00505975	0.000282766	0.00506738	176.796	0.000679616	2.98024e-05	0.000680331	2.514	-2.409908e-11
1.005	1			0.000930075	-0.000100136	0.000935439	-6.144	-0.00506213	0.000283243	0.00506929	176.796	0.000934366	1.69278e-05	0.000934485	1.038	-2.074852e-11
1.01	2			0.000975136	-0.000103951	0.000980623	-6.084	-0.00506642	0.00028372	0.00507358	176.79	0.00117672	4.17235e-06	0.00117672	0.21	-1.852881e-11
1.015	3			0.00102652	-0.000108243	0.00103224	-6.018	-0.00507358	0.000284197	0.00508121	176.79	0.00126577	9.53682e-07	0.00126577	0.048	-2.196311e-11
1.02	4			0.00104917	-0.000110269	0.00105489	-6.0	-0.00508121	0.000286581	0.00508884	176.772	0.00126684	5.9605e-07	0.00126684	0.03	-1.919889e-11
1.025	5			0.0010686	-0.000111938	0.00107444	-5.976	-0.00510076	0.000287535	0.00510791	176.772	0.001256	2.62262e-06	0.001256	0.126	-1.773301e-11
1.03	6			0.00106836	-0.000112415	0.00107432	-6.006	-0.00512365	0.000289919	0.00513127	176.76	0.00124157	5.24524e-06	0.00124157	0.246	-2.07904e-11
1.035	7			0.0010717	-0.000113726	0.00107766	-6.054	-0.00515273	0.000291826	0.00516036	176.754	0.00122643	6.55654e-06	0.00122643	0.306	-2.204689e-11
1.04	8			0.00106705	-0.000113607	0.00107313	-6.078	-0.00518087	0.000293257	0.00518897	176.76	0.00121678	6.0797e-06	0.00121678	0.288	-1.97015e-11
1.045	9			0.00104333	-0.000112415	0.00104929	-6.15	-0.00525048	0.000297548	0.00525811	176.754	0.00118173	8.58313e-06	0.00118173	0.414	-2.058101e-11
1.05	10			0.00092626	-0.000105501	0.00093222	-6.492	-0.00544932	0.000306608	0.00545743	176.778	0.0010444	1.75239e-05	0.00104452	0.96	-1.898949e-11
1.055	11			0.000777368	-9.72752e-05	0.000783447	-7.128	-0.00561193	0.000315191	0.00562051	176.784	0.000876192	2.75375e-05	0.000876669	1.806	-2.003653e-11
1.06	12			0.000656251	-8.95266e-05	0.000662331	-7.758	-0.00566438	0.000317575	0.00567296	176.79	0.000749949	3.67167e-05	0.000750784	2.808	-1.995275e-11
1.065	13			0.000664119	-9.16724e-05	0.000670437	-7.854	-0.0056701	0.000319483	0.00567821	176.772	0.000717524	3.79088e-05	0.000718597	3.03	-2.510422e-11
1.07	14			0.000754599	-9.52487e-05	0.000760678	-7.188	-0.00566962	0.00031996	0.00567821	176.766	0.000704054	3.93393e-05	0.000705246	3.204	-1.810997e-11
1.075	15			0.000823501	-9.98979e-05	0.000829462	-6.906	-0.00566581	0.000316622	0.00567439	176.802	0.000695948	3.81472e-05	0.00069702	3.15	-2.309392e-11
1.08	16			0.000796441	-9.70368e-05	0.000802282	-6.936	-0.00567868	0.000316622	0.00568727	176.808	0.000679735	3.8028e-05	0.000680808	3.21	-2.049723e-11
1.085	17			0.0007906	-9.53679e-05	0.000796322	-6.87	-0.005703	0.000317575	0.00571159	176.814	0.000665549	3.98161e-05	0.000666741	3.432	-2.058101e-11
1.09	18			0.000923399	-0.000104666	0.000929359	-6.462	-0.00573114	0.000319483	0.00573972	176.808	0.000645999	3.91009e-05	0.000647191	3.474	-1.676974e-11
1.095	19			0.000962142	-0.000105978	0.000967983	-6.276	-0.00575069	0.000324251	0.00575927	176.766	0.000631932	4.11274e-05	0.000633243	3.732	-1.526198e-11
1.1	20			0.000977404	-0.00010717	0.000983246	-6.252	-0.00576356	0.000328543	0.00577262	176.736	0.000615839	4.14851e-05	0.000617269	3.864	-2.137676e-11
1.105	21			0.000967864	-0.000107408	0.000973705	-6.33	-0.00579742	0.000331881	0.00580648	176.724	0.000587706	4.3154e-05	0.000589255	4.212	-2.003655e-11
