variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


12.0	0			0.0210744	-0.00548747	0.0217763	-14.592	-0.0547068	0.0111733	0.0558321	168.45	0.0292169	-0.00268175	0.029339	-5.244	-2.234e-11
11.99	1			0.0205861	-0.00537494	0.0212766	-14.628	-0.0542567	0.0110665	0.0553706	168.468	0.0287954	-0.00259973	0.0289117	-5.154	-2.372211e-11
11.98	2			0.0200788	-0.00525478	0.020754	-14.664	-0.0538294	0.0109597	0.0549319	168.486	0.0283281	-0.00250627	0.0284387	-5.052	-2.439225e-11
11.97	3			0.0194169	-0.00509456	0.0200731	-14.7	-0.0533793	0.0108414	0.0544665	168.516	0.0276948	-0.00237848	0.0277959	-4.908	-1.760731e-11
11.96	4			0.0186979	-0.0049248	0.0193349	-14.748	-0.0529673	0.010727	0.0540392	168.546	0.0270673	-0.00224496	0.0271589	-4.74	-1.949201e-11
11.95	5			0.0179502	-0.00475124	0.0185682	-14.82	-0.052563	0.0106125	0.0536196	168.582	0.0264283	-0.00211717	0.0265123	-4.578	-2.820344e-11
11.94	6			0.0171701	-0.00457004	0.0177671	-14.898	-0.05217	0.0104981	0.0532115	168.618	0.0257112	-0.00197221	0.0257856	-4.386	-2.11673e-11
11.93	7			0.016409	-0.00439265	0.0169851	-14.982	-0.0518534	0.0103951	0.0528834	168.66	0.0249501	-0.00181962	0.0250169	-4.17	-2.095787e-11
11.92	8			0.0156136	-0.00420955	0.0161706	-15.084	-0.0515749	0.0102959	0.0525897	168.708	0.0241872	-0.00166512	0.0242425	-3.936	-2.527171e-11
11.91	9			0.0147267	-0.00400737	0.0152627	-15.216	-0.0513003	0.0101929	0.0522997	168.762	0.0233346	-0.00149537	0.0233823	-3.666	-1.182761e-11
11.9	10			0.013815	-0.00380327	0.0143281	-15.384	-0.0510485	0.0100976	0.0520327	168.81	0.0225393	-0.00133515	0.0225793	-3.39	-2.11254e-11
11.89	11			0.0128689	-0.00358965	0.013361	-15.576	-0.050812	0.0100098	0.0517848	168.852	0.0217286	-0.00117875	0.0217592	-3.102	-2.171179e-11
11.88	12			0.0119115	-0.00337793	0.0123826	-15.828	-0.0506022	0.0099259	0.0515635	168.9	0.0209314	-0.00102616	0.0209562	-2.802	-2.363835e-11
11.87	13			0.0110913	-0.00319673	0.0115433	-16.074	-0.0504153	0.00984961	0.0513651	168.942	0.0201799	-0.000881199	0.0202008	-2.496	-2.560679e-11
11.86	14			0.0101987	-0.00300027	0.0106297	-16.392	-0.0502207	0.00976568	0.0511553	168.996	0.0192949	-0.000713352	0.0193082	-2.118	-2.074846e-11
11.85	15			0.0094853	-0.00284769	0.00990301	-16.704	-0.0500605	0.00969702	0.0509875	169.032	0.0185357	-0.000570301	0.0185434	-1.758	-1.656033e-11
11.84	16			0.00877005	-0.0026951	0.00917631	-17.076	-0.0499041	0.00962836	0.0508196	169.08	0.0177461	-0.000423433	0.0177499	-1.362	-2.573242e-11
11.83	17			0.0082131	-0.00257684	0.00860792	-17.412	-0.049782	0.00956351	0.0506861	169.122	0.0169698	-0.000282289	0.0169717	-0.954	-1.781675e-11
11.82	18			0.00772288	-0.00247385	0.0081082	-17.76	-0.0496714	0.0095101	0.0505679	169.158	0.0163099	-0.000160218	0.0163099	-0.564	-1.949199e-11
11.81	19			0.00716975	-0.00235941	0.00754932	-18.204	-0.0495608	0.00945288	0.0504496	169.194	0.0155888	-2.86103e-05	0.0155888	-0.102	-2.196302e-11
11.8	20			0.00670817	-0.00226213	0.00708011	-18.624	-0.0494807	0.00940329	0.0503619	169.236	0.0148945	9.34605e-05	0.0148945	0.366	-2.443405e-11
11.79	21			0.00627139	-0.00217058	0.0066376	-19.08	-0.049412	0.00936133	0.0502856	169.272	0.0142518	0.000207902	0.0142537	0.84	-1.312597e-11
11.78	22			0.00584796	-0.00208284	0.00620654	-19.596	-0.0493395	0.00931937	0.0502093	169.302	0.0136662	0.000308992	0.01367	1.296	-1.559699e-11
11.77	23			0.00538638	-0.00199129	0.00574306	-20.268	-0.0492823	0.00928122	0.0501482	169.332	0.0130997	0.000408174	0.0131074	1.788	-2.007838e-11
11.76	24			0.00495914	-0.00190163	0.00531009	-20.976	-0.0492289	0.00924307	0.0500872	169.362	0.0125847	0.000497822	0.0125962	2.268	-2.158615e-11
11.75	25			0.00462344	-0.00183678	0.0049744	-21.642	-0.0491908	0.00920874	0.0500414	169.392	0.0120526	0.000589374	0.0120679	2.802	-2.229813e-11
11.74	26			0.0044041	-0.00179196	0.0047541	-22.134	-0.0491602	0.00917441	0.0500071	169.428	0.0115548	0.000673298	0.0115758	3.336	-1.668594e-11
11.73	27			0.00425342	-0.00175668	0.00460151	-22.44	-0.0491374	0.00914389	0.0499766	169.458	0.0110646	0.000751499	0.0110894	3.894	-1.798426e-11
11.72	28			0.00397304	-0.00170136	0.00432113	-23.172	-0.0491183	0.00910956	0.0499499	169.494	0.0105706	0.000835422	0.010603	4.524	-2.368022e-11
11.71	29			0.00366212	-0.00163747	0.00401118	-24.084	-0.0490954	0.00908285	0.049927	169.518	0.0101567	0.000904087	0.0101967	5.094	-2.426656e-11
11.7	30			0.00321104	-0.00154496	0.00356294	-25.686	-0.0490878	0.00905615	0.0499117	169.548	0.00975615	0.000970844	0.00980574	5.688	-1.798427e-11
11.69	31			0.00289537	-0.00148202	0.003253	-27.102	-0.0490687	0.00903326	0.0498927	169.566	0.00945669	0.00102044	0.00951201	6.162	-1.015234e-11
11.68	32			0.0026169	-0.00142289	0.00297834	-28.524	-0.0490611	0.00900275	0.0498774	169.596	0.00906187	0.00108338	0.00912672	6.828	-1.614147e-11
11.67	33			0.00239183	-0.00137711	0.00275995	-29.916	-0.0490611	0.00897604	0.0498698	169.632	0.00870138	0.00114442	0.00877768	7.494	-2.627683e-11
11.66	34			0.00220968	-0.00133992	0.00258447	-31.212	-0.0490572	0.00894552	0.0498621	169.662	0.00834471	0.00119973	0.00843054	8.184	-1.974329e-11
11.65	35			0.00207044	-0.0013094	0.00244905	-32.304	-0.0490572	0.00891882	0.0498545	169.692	0.0080815	0.00123978	0.00817686	8.736	-1.815179e-11
11.64	36			0.00195314	-0.00128365	0.00233747	-33.294	-0.0490572	0.00889593	0.0498545	169.716	0.00776675	0.00129128	0.00787359	9.444	-1.609956e-11
11.63	37			0.00190163	-0.00126935	0.00228693	-33.708	-0.0490572	0.00886923	0.0498507	169.752	0.00747684	0.00133515	0.00759509	10.134	-1.266529e-11
11.62	38			0.00184918	-0.00125695	0.00223543	-34.194	-0.0490534	0.00884634	0.0498393	169.776	0.00722125	0.00137521	0.00735286	10.788	-2.133481e-11
