variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


12.0	0			0.00131894	-0.00120021	0.0017829	-42.288	-0.0489695	0.00910193	0.0498049	169.47	0.0137721	0.00038624	0.0137778	1.608	-2.543923e-11
11.99	1			0.0012107	-0.00117636	0.00168801	-44.166	-0.0489657	0.0090943	0.0498011	169.476	0.0135003	0.000427248	0.0135069	1.812	-1.115751e-11
11.98	2			0.00109959	-0.00115443	0.00159407	-46.392	-0.0489619	0.0090943	0.0497973	169.476	0.0132657	0.000464441	0.0132743	2.01	-1.681154e-11
11.97	3			0.00107957	-0.00114728	0.001575	-46.722	-0.0489657	0.00908667	0.0498011	169.482	0.01295	0.000511173	0.0129605	2.262	-2.338703e-11
11.96	4			0.00112391	-0.001153	0.00160981	-45.72	-0.0489657	0.00908285	0.0498011	169.488	0.0126811	0.000551227	0.0126935	2.49	-1.279092e-11
11.95	5			0.0012188	-0.00117064	0.00168992	-43.836	-0.0489619	0.00908285	0.0497973	169.488	0.0124837	0.000582699	0.012497	2.676	-2.1628e-11
11.94	6			0.00135279	-0.00119305	0.00180388	-41.406	-0.0489657	0.00907522	0.0497973	169.5	0.0122338	0.000616077	0.0122491	2.886	-2.30939e-11
11.93	7			0.00133134	-0.00118495	0.00178195	-41.658	-0.0489619	0.00907141	0.0497935	169.5	0.0119992	0.000652317	0.0120173	3.114	-1.848685e-11
11.92	8			0.00120402	-0.00115348	0.00166751	-43.758	-0.0489619	0.0090676	0.0497935	169.506	0.0117856	0.000682835	0.0118056	3.318	-2.368026e-11
11.91	9			0.00113488	-0.00113297	0.00160313	-44.94	-0.0489619	0.00906378	0.0497935	169.506	0.0116187	0.000705723	0.0116406	3.474	-1.622521e-11
11.9	10			0.00110293	-0.00111962	0.00157166	-45.42	-0.0489619	0.00905997	0.0497935	169.512	0.0113841	0.000740055	0.0114079	3.72	-2.053909e-11
11.89	11			0.00104667	-0.00110341	0.00152064	-46.5	-0.0489619	0.00905615	0.0497897	169.518	0.0111867	0.000763897	0.0112124	3.912	-1.852869e-11
11.88	12			0.000912193	-0.00107241	0.00140715	-49.602	-0.0489619	0.00905234	0.0497859	169.524	0.0109873	0.000793461	0.011016	4.134	-2.028776e-11
