variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.3	0			2.60064e-05	-1.49013e-07	2.60064e-05	-0.324	-5.2918e-06	1.49013e-08	5.28994e-06	179.82	2.6472e-05	1.37836e-06	2.65018e-05	2.982	-1.819371e-11
0.302	1			2.62783e-05	-4.61938e-07	2.6282e-05	-1.002	-5.64012e-06	-3.48316e-07	5.64943e-06	-176.484	2.76716e-05	5.06643e-07	2.76716e-05	1.062	-1.693724e-11
0.304	2			2.67514e-05	-1.03936e-06	2.67701e-05	-2.22	-5.39797e-06	-3.85569e-07	5.40915e-06	-175.92	2.715e-05	2.19049e-06	2.7232e-05	4.62	-1.831934e-11
0.306	3			2.55929e-05	-1.04681e-06	2.56152e-05	-2.334	-5.22102e-06	-2.25381e-07	5.22475e-06	-177.534	2.65912e-05	7.45062e-07	2.65987e-05	1.608	-1.764925e-11
0.308	4			2.60697e-05	-7.74864e-07	2.60809e-05	-1.698	-4.62591e-06	-3.68806e-07	4.63988e-06	-175.446	2.66881e-05	1.57208e-06	2.67328e-05	3.372	-2.28845e-11
0.31	5			2.52092e-05	-9.83484e-07	2.52315e-05	-2.232	-4.34931e-06	-3.39003e-07	4.36234e-06	-175.548	2.61815e-05	9.61132e-07	2.62038e-05	2.112	-1.961766e-11
0.312	6			2.5917e-05	-1.24798e-06	2.59468e-05	-2.754	-5.05897e-06	-2.93368e-07	5.06642e-06	-176.688	2.66806e-05	1.12504e-06	2.67104e-05	2.418	-1.576456e-11
0.314	7			2.59915e-05	-1.18465e-06	2.60175e-05	-2.604	-4.88109e-06	-3.07338e-07	4.88947e-06	-176.406	2.66285e-05	1.49013e-07	2.66285e-05	0.33	-1.71048e-11
0.316	8			2.50415e-05	-8.75447e-07	2.50564e-05	-1.998	-4.81962e-06	-6.5193e-08	4.81962e-06	-179.232	2.55184e-05	3.42729e-07	2.55184e-05	0.78	-2.020406e-11
0.318	9			2.54103e-05	-4.54487e-07	2.5414e-05	-1.02	-5.45013e-06	-5.98844e-07	5.48179e-06	-173.736	2.64422e-05	8.4937e-07	2.64571e-05	1.848	-1.936639e-11
0.32	10			2.54923e-05	-5.84874e-07	2.54997e-05	-1.308	-5.10554e-06	-9.55544e-07	5.19308e-06	-169.404	2.64422e-05	1.63914e-07	2.64422e-05	0.36	-1.936641e-11
