variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


1.0	0			0.000768665	-8.57119e-05	0.000773434	-6.354	-0.00461581	0.000263216	0.00462154	176.736	0.00103141	1.21594e-05	0.00103141	0.678	-2.07485e-11
0.9975	1			0.000761513	-8.75001e-05	0.000766519	-6.552	-0.00461391	0.000262262	0.00462058	176.742	0.0010264	1.16826e-05	0.0010264	0.66	-2.028781e-11
0.995	2			0.000893954	-9.50103e-05	0.000898961	-6.06	-0.004612	0.000262262	0.00461772	176.742	0.00102592	1.26362e-05	0.00102592	0.72	-2.196307e-11
0.9925	3			0.0009172	-9.63216e-05	0.000922326	-5.988	-0.00460914	0.000261309	0.00461581	176.754	0.00102592	1.21594e-05	0.00102592	0.678	-1.911515e-11
0.99	4			0.000779275	-8.75001e-05	0.000784162	-6.402	-0.00460818	0.000262262	0.00461486	176.736	0.00102759	1.28747e-05	0.00102759	0.726	-2.317766e-11
0.9875	5			0.000739221	-8.45199e-05	0.000743989	-6.516	-0.00460914	0.000261309	0.00461581	176.748	0.00102664	1.14442e-05	0.00102664	0.642	-2.062289e-11
0.985	6			0.000702027	-8.20165e-05	0.000706796	-6.654	-0.00460914	0.000261309	0.00461486	176.754	0.00102664	1.14442e-05	0.00102664	0.654	-2.066476e-11
0.9825	7			0.000727657	-8.42814e-05	0.000732545	-6.606	-0.00460914	0.000261309	0.00461486	176.754	0.0010264	1.12057e-05	0.0010264	0.63	-2.141864e-11
0.98	8			0.000712875	-8.29701e-05	0.000717644	-6.636	-0.00460818	0.000260355	0.00461486	176.76	0.00102807	1.04905e-05	0.00102807	0.588	-1.886381e-11
0.9775	9			0.000778202	-8.82153e-05	0.000783209	-6.462	-0.00460723	0.000260355	0.00461391	176.76	0.00102926	1.07289e-05	0.00102926	0.606	-1.873821e-11
0.975	10			0.000780705	-8.82153e-05	0.000785593	-6.438	-0.00460532	0.000260355	0.004612	176.76	0.00102855	9.77522e-06	0.00102855	0.546	-2.129297e-11
0.9725	11			0.000824098	-9.1434e-05	0.000829104	-6.324	-0.00460532	0.000260355	0.004612	176.76	0.00102855	1.04905e-05	0.00102855	0.594	-1.999463e-11
0.97	12			0.000918988	-9.75137e-05	0.000924114	-6.054	-0.00460342	0.000261309	0.00461009	176.748	0.00102783	1.1921e-05	0.00102783	0.672	-1.710478e-11
0.9675	13			0.000783447	-8.9169e-05	0.000788573	-6.486	-0.00460246	0.000259401	0.00460914	176.766	0.0010233	1.21594e-05	0.0010233	0.69	-2.221442e-11
0.965	14			0.00082064	-9.15532e-05	0.000825647	-6.36	-0.00460342	0.000259401	0.00461009	176.766	0.00100566	1.23978e-05	0.00100566	0.714	-1.723043e-11
0.9625	15			0.000896338	-9.656e-05	0.000901464	-6.144	-0.00460437	0.000257494	0.00461105	176.79	0.000984199	1.35899e-05	0.000984438	0.798	-1.836123e-11
0.96	16			0.000922207	-9.78713e-05	0.000927452	-6.06	-0.00460437	0.00025654	0.00461105	176.802	0.000924829	1.74047e-05	0.000925068	1.086	-1.886383e-11
0.9575	17			0.00089765	-9.7156e-05	0.000902895	-6.168	-0.00460723	0.00025654	0.00461295	176.814	0.00090671	1.88352e-05	0.000906948	1.2	-1.810997e-11
0.955	18			0.000857476	-9.3699e-05	0.000862602	-6.234	-0.00460914	0.00025654	0.00461486	176.802	0.000937704	1.71663e-05	0.000937942	1.056	-2.288451e-11
0.9525	19			0.000917319	-9.66792e-05	0.000922445	-6.012	-0.00459674	0.000254633	0.00460342	176.82	0.00102354	1.21594e-05	0.00102354	0.684	-2.058095e-11
0.95	20			0.000928883	-9.72752e-05	0.000934009	-5.976	-0.00454333	0.000254633	0.00454906	176.79	0.00112439	6.43733e-06	0.00112439	0.336	-2.234001e-11
0.9475	21			0.00094438	-9.72752e-05	0.000949387	-5.874	-0.00444511	0.000249865	0.00445178	176.778	0.00122524	1.90736e-06	0.00122524	0.096	-2.150241e-11
0.945	22			0.000955228	-9.85865e-05	0.000960354	-5.886	-0.00433257	0.000243188	0.00433829	176.778	0.00128532	-2.62262e-06	0.00128532	-0.114	-1.861248e-11
0.9425	23			0.000992067	-9.91826e-05	0.000997074	-5.706	-0.00426486	0.000241281	0.00427058	176.76	0.00131655	-3.33787e-06	0.00131655	-0.144	-1.982713e-11
