variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


1.0	0			0.000889007	-9.47122e-05	0.000894073	-6.078	-0.00461486	0.000262739	0.00462154	176.736	0.00103367	1.2517e-05	0.00103367	0.696	-2.368026e-11
1.005	1			0.000835124	-9.07187e-05	0.000840012	-6.198	-0.00461629	0.000262262	0.00462297	176.742	0.00104738	1.20402e-05	0.0010475	0.66	-1.656037e-11
1.01	2			0.000912312	-9.60832e-05	0.000917319	-6.012	-0.0046244	0.000263216	0.00463203	176.736	0.00107551	8.34471e-06	0.00107551	0.444	-1.945021e-11
1.015	3			0.000929836	-9.95402e-05	0.000935201	-6.102	-0.0046325	0.00026417	0.00463966	176.736	0.00117231	3.81473e-06	0.00117231	0.186	-2.091608e-11
1.02	4			0.000765566	-9.04803e-05	0.00077093	-6.738	-0.00465301	0.000264646	0.00466016	176.742	0.00147332	-1.01328e-05	0.00147343	-0.39	-2.028789e-11
1.025	5			0.000796083	-9.21492e-05	0.000801329	-6.594	-0.00467113	0.0002656	0.00467828	176.742	0.00168741	-2.01465e-05	0.00168753	-0.684	-1.651846e-11
1.03	6			0.000736717	-8.80961e-05	0.000742082	-6.81	-0.00469354	0.000267984	0.00470069	176.73	0.00169624	-2.07425e-05	0.00169636	-0.702	-1.861256e-11
1.035	7			0.000634316	-8.28509e-05	0.000639681	-7.434	-0.00471929	0.000270845	0.00472644	176.712	0.00168706	-1.82391e-05	0.00168706	-0.618	-1.756552e-11
1.04	8			0.00062478	-8.14204e-05	0.000630025	-7.416	-0.00475839	0.000272276	0.00476554	176.724	0.00165618	-1.6451e-05	0.00165618	-0.564	-1.584835e-11
1.045	9			0.00056589	-7.92746e-05	0.000571493	-7.962	-0.00481942	0.000275614	0.00482705	176.724	0.00158919	-1.38283e-05	0.00158919	-0.498	-1.844505e-11
1.05	10			0.000507358	-7.61752e-05	0.000513081	-8.532	-0.00490478	0.000280859	0.00491241	176.718	0.00149394	-7.62945e-06	0.00149394	-0.288	-2.259136e-11
1.055	11			0.00047219	-7.41486e-05	0.000478031	-8.91	-0.00500873	0.000284197	0.00501636	176.748	0.00137103	1.31131e-06	0.00137103	0.06	-1.806814e-11
1.06	12			0.000504259	-7.6652e-05	0.0005101	-8.634	-0.00505212	0.000287535	0.00506023	176.742	0.00129867	6.43733e-06	0.00129867	0.282	-1.584835e-11
1.065	13			0.000572685	-8.21357e-05	0.000578526	-8.154	-0.00505689	0.000288488	0.00506499	176.73	0.00128198	6.31812e-06	0.00128198	0.288	-2.171184e-11
1.07	14			0.000649218	-8.41622e-05	0.000654582	-7.38	-0.0050588	0.000288488	0.00506642	176.736	0.00127507	6.79496e-06	0.00127507	0.306	-1.831939e-11
1.075	15			0.000799898	-9.33413e-05	0.000805262	-6.648	-0.0050607	0.000286581	0.00506833	176.754	0.00127435	4.64919e-06	0.00127435	0.21	-1.961775e-11
1.08	16			0.000830654	-9.54871e-05	0.000836138	-6.558	-0.00506118	0.000285627	0.00506881	176.772	0.00127269	3.93394e-06	0.00127269	0.18	-2.171183e-11
1.085	17			0.000882987	-9.7156e-05	0.000888351	-6.27	-0.00506166	0.000285627	0.00506929	176.772	0.00126887	5.96049e-06	0.00126887	0.276	-1.83194e-11
1.09	18			0.00092924	-0.000100017	0.000934605	-6.144	-0.00506261	0.000286581	0.00507024	176.76	0.00126041	7.03338e-06	0.00126041	0.318	-2.058102e-11
1.095	19			0.000914935	-9.91826e-05	0.00092018	-6.18	-0.00506452	0.000289919	0.00507262	176.718	0.00125063	6.67575e-06	0.00125063	0.306	-2.150241e-11
1.1	20			0.000732187	-8.80961e-05	0.000737552	-6.858	-0.00506309	0.000293257	0.00507119	176.682	0.00124765	7.39101e-06	0.00124765	0.342	-1.840318e-11
1.105	21			0.000728134	-8.77385e-05	0.000733379	-6.87	-0.00506499	0.00029421	0.0050731	176.676	0.00127507	4.7684e-06	0.00127507	0.216	-2.175374e-11
1.11	22			0.000771407	-9.05995e-05	0.000776652	-6.69	-0.00506404	0.000296118	0.00507262	176.652	0.00127424	4.64919e-06	0.00127424	0.21	-2.20888e-11
1.115	23			0.000786308	-9.203e-05	0.000791673	-6.666	-0.00506452	0.000295164	0.00507262	176.664	0.00127447	3.93394e-06	0.00127447	0.18	-1.580648e-11
1.12	24			0.000812415	-9.41758e-05	0.000817899	-6.606	-0.0050669	0.000296118	0.00507501	176.652	0.00127376	3.81473e-06	0.00127376	0.174	-1.752365e-11
1.125	25			0.000794295	-9.35798e-05	0.000799779	-6.714	-0.00506547	0.000296595	0.00507358	176.646	0.00127412	3.6955e-06	0.00127412	0.168	-1.986902e-11
1.13	26			0.00092316	-0.000101805	0.000928763	-6.294	-0.00506642	0.000297548	0.00507453	176.634	0.00127376	5.72208e-06	0.00127376	0.258	-1.907328e-11
1.135	27			0.000897769	-0.000100375	0.000903491	-6.378	-0.00506356	0.000297548	0.00507167	176.634	0.00127495	5.48366e-06	0.00127495	0.252	-2.137676e-11
1.14	28			0.000802878	-9.54871e-05	0.000808481	-6.78	-0.00506213	0.000298979	0.00507072	176.616	0.00128449	5.00682e-06	0.00128449	0.228	-1.790055e-11
1.145	29			0.000720505	-9.10764e-05	0.000726227	-7.2	-0.00506261	0.000298979	0.00507119	176.616	0.00132085	3.57629e-06	0.00132085	0.156	-2.397348e-11
1.15	30			0.000769142	-9.66792e-05	0.000775103	-7.164	-0.0050669	0.000299456	0.00507548	176.616	0.00139178	1.1921e-06	0.00139178	0.054	-1.978525e-11
1.155	31			0.000738744	-9.59639e-05	0.000744943	-7.392	-0.0050855	0.000300886	0.00509408	176.61	0.00156403	-7.74866e-06	0.00156403	-0.282	-1.806808e-11
1.16	32			0.000771884	-9.93018e-05	0.000778202	-7.326	-0.00517324	0.000306131	0.00518182	176.61	0.00190688	-2.3842e-05	0.00190712	-0.714	-1.660223e-11
1.165	33			0.000844363	-0.000104309	0.0008508	-7.032	-0.00533679	0.000315191	0.00534537	176.616	0.00200106	-2.88488e-05	0.0020013	-0.822	-1.857071e-11
1.17	34			0.000861291	-0.000106097	0.000867728	-7.014	-0.00554278	0.000325205	0.00555232	176.64	0.00188423	-2.05041e-05	0.00188447	-0.618	-1.752364e-11
1.175	35			0.000715975	-9.72752e-05	0.000722531	-7.728	-0.00560954	0.000327589	0.0056186	176.652	0.00175572	-1.23978e-05	0.00175572	-0.402	-1.810996e-11
1.18	36			0.000651006	-9.31029e-05	0.000657681	-8.13	-0.00562528	0.000328543	0.00563434	176.652	0.00164319	-5.24524e-06	0.00164319	-0.18	-1.869635e-11
1.185	37			0.000670675	-9.54871e-05	0.000677351	-8.094	-0.00562575	0.000327589	0.00563529	176.664	0.00161768	-6.19891e-06	0.00161768	-0.21	-2.091608e-11
1.19	38			0.000622991	-9.16724e-05	0.000629667	-8.37	-0.00562719	0.000325205	0.00563625	176.688	0.001611	-5.72208e-06	0.001611	-0.198	-2.347082e-11
1.195	39			0.000683431	-9.57255e-05	0.000690106	-7.968	-0.00562337	0.000324728	0.00563243	176.694	0.00161219	-7.62945e-06	0.00161219	-0.264	-2.154431e-11
1.2	40			0.000608686	-8.96459e-05	0.000615243	-8.37	-0.005631	0.000324728	0.00564006	176.694	0.00160838	-8.34471e-06	0.00160838	-0.294	-1.78587e-11
1.205	41			0.000698451	-9.33413e-05	0.00070465	-7.602	-0.005631	0.000324251	0.00564006	176.7	0.00160981	-6.91417e-06	0.00160981	-0.24	-1.312603e-11
1.21	42			0.000749473	-9.84673e-05	0.00075591	-7.482	-0.00562671	0.000323774	0.00563577	176.706	0.00160623	-8.10629e-06	0.00160623	-0.282	-1.706293e-11
1.215	43			0.000902418	-0.000106931	0.000908736	-6.756	-0.00562766	0.000325205	0.00563625	176.688	0.00160337	-8.10629e-06	0.00160337	-0.288	-1.639285e-11
1.22	44			0.000980385	-0.000112415	0.000986822	-6.534	-0.00563243	0.000327589	0.00564149	176.67	0.00159455	-2.86104e-06	0.00159455	-0.102	-2.288457e-11
1.225	45			0.0010469	-0.000117064	0.00105346	-6.378	-0.00563815	0.000330927	0.00564721	176.64	0.0015874	-1.66894e-06	0.0015874	-0.06	-1.723046e-11
1.23	46			0.000875715	-0.000105381	0.000882033	-6.858	-0.00564435	0.000334265	0.00565389	176.604	0.00157071	2.14578e-06	0.00157071	0.084	-1.957581e-11
1.235	47			0.000797872	-0.000100852	0.00080419	-7.2	-0.00566009	0.000336172	0.00566962	176.598	0.00156308	3.09946e-06	0.00156308	0.12	-2.217255e-11
