variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.36	0			-0.00019157	-0.000805143	0.000827435	-103.38	-0.0489962	0.00899512	0.0498126	169.596	0.0118962	0.000604633	0.0119115	2.91	-2.016204e-11
0.362	1			-0.00019455	-0.000805262	0.00082827	-103.578	-0.0489962	0.0089913	0.0498126	169.596	0.0118409	0.000613216	0.0118571	2.97	-2.062275e-11
0.364	2			-0.000198127	-0.000803713	0.000827674	-103.848	-0.0489962	0.0089913	0.0498126	169.596	0.0117932	0.000619892	0.0118085	3.012	-2.02877e-11
0.366	3			-0.000198365	-0.00080407	0.000827912	-103.854	-0.049	0.0089913	0.0498164	169.602	0.0117255	0.000630382	0.0117417	3.078	-2.309374e-11
0.368	4			-0.000198842	-0.000803236	0.000827435	-103.902	-0.0490038	0.0089913	0.0498202	169.602	0.0116425	0.000641827	0.0116606	3.162	-2.183732e-11
0.37	5			-0.000197769	-0.000801686	0.000825528	-103.854	-0.049	0.00898749	0.0498126	169.602	0.0116044	0.000647549	0.0116225	3.198	-1.685338e-11
0.372	6			-0.000195862	-0.000799421	0.000822905	-103.764	-0.049	0.00898367	0.0498126	169.608	0.0115433	0.000655178	0.0115624	3.252	-1.857054e-11
0.374	7			-0.00019908	-0.000798229	0.000822548	-103.998	-0.0490038	0.00898749	0.0498164	169.602	0.0115033	0.000661854	0.0115233	3.3	-1.643457e-11
0.376	8			-0.000200392	-0.000798229	0.000822905	-104.094	-0.049	0.00898367	0.0498126	169.608	0.011468	0.000666622	0.0114871	3.33	-2.125095e-11
0.378	9			-0.000199796	-0.000797395	0.000821952	-104.064	-0.0490038	0.00898749	0.0498164	169.602	0.0113955	0.000677112	0.0114155	3.408	-1.932438e-11
0.38	10			-0.000195981	-0.000796203	0.000819806	-103.824	-0.049	0.00898749	0.0498126	169.602	0.0113593	0.000681881	0.0113803	3.438	-2.083214e-11
