variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.38	0			2.30522e-05	-2.98025e-08	2.30522e-05	-0.066	-4.79448e-06	-4.95467e-07	4.81683e-06	-174.102	2.35812e-05	1.37836e-06	2.36185e-05	3.348	-2.372199e-11
0.385	1			2.2173e-05	-6.92908e-07	2.21879e-05	-1.77	-4.90531e-06	2.71948e-07	4.91182e-06	176.82	2.33279e-05	1.03564e-06	2.33502e-05	2.55	-1.748161e-11
0.39	2			2.28063e-05	-2.98025e-08	2.28063e-05	-0.066	-4.46106e-06	5.41102e-07	4.49273e-06	173.082	2.36557e-05	1.41562e-06	2.3693e-05	3.438	-1.718843e-11
0.395	3			2.14205e-05	-8.79172e-07	2.14429e-05	-2.334	-4.59331e-06	-9.64857e-07	4.69296e-06	-168.15	2.29256e-05	1.62423e-06	2.29852e-05	4.056	-1.697903e-11
0.4	4			2.18005e-05	-6.63105e-07	2.1808e-05	-1.734	-4.67993e-06	-3.97677e-07	4.69576e-06	-175.14	2.35067e-05	1.31876e-06	2.35514e-05	3.216	-1.773286e-11
0.405	5			2.20166e-05	-1.86265e-07	2.20166e-05	-0.468	-4.79262e-06	2.34694e-07	4.7982e-06	177.186	2.36036e-05	1.71364e-06	2.36632e-05	4.17	-1.785856e-11
0.41	6			2.19719e-05	-6.85457e-07	2.19793e-05	-1.77	-4.60169e-06	-2.09548e-07	4.60542e-06	-177.402	2.30001e-05	1.45287e-06	2.30522e-05	3.63	-1.936631e-11
0.415	7			2.29479e-05	-9.98385e-07	2.29703e-05	-2.478	-4.60914e-06	-7.62757e-07	4.67061e-06	-170.61	2.26946e-05	1.13995e-06	2.27244e-05	2.892	-1.861241e-11
0.42	8			2.12864e-05	-4.99193e-07	2.12939e-05	-1.326	-3.84546e-06	4.77772e-07	3.87433e-06	172.914	2.33055e-05	9.23876e-07	2.33204e-05	2.274	-2.560669e-11
0.425	9			2.2024e-05	-3.79981e-07	2.2024e-05	-0.972	-3.64242e-06	-8.66134e-07	3.743e-06	-166.632	2.33577e-05	1.46777e-06	2.34024e-05	3.606	-2.087401e-11
