variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.55	0			-0.000188352	-0.000761393	0.000784162	-103.89	-0.0490153	0.0089646	0.049824	169.632	0.00949103	0.000951771	0.00953871	5.73	-2.045531e-11
0.535	1			-0.000189067	-0.000756387	0.000779513	-104.028	-0.0490153	0.00896078	0.049824	169.638	0.00955683	0.000936512	0.00960261	5.598	-2.083226e-11
0.52	2			-0.000200153	-0.000768784	0.000794176	-104.592	-0.0490038	0.00897223	0.0498126	169.62	0.00962263	0.000936512	0.00966841	5.556	-2.024592e-11
0.505	3			-0.000194431	-0.000759248	0.000783566	-104.358	-0.0490077	0.00896078	0.0498164	169.632	0.00969416	0.000919346	0.00973803	5.424	-1.693725e-11
0.49	4			-0.00018859	-0.000763897	0.000786785	-103.866	-0.0490115	0.00896841	0.0498202	169.626	0.00980479	0.000908855	0.00984675	5.298	-1.974338e-11
0.475	5			-0.000186206	-0.000768665	0.000790719	-103.614	-0.0490115	0.00897223	0.0498202	169.626	0.00992972	0.000891689	0.00996977	5.136	-2.351268e-11
0.46	6			-0.000191332	-0.000774626	0.000797752	-103.872	-0.0490038	0.00897604	0.0498164	169.62	0.0101233	0.000869755	0.0101605	4.914	-2.35965e-11
0.445	7			-0.0001961	-0.000773791	0.00079811	-104.214	-0.0490038	0.00897604	0.0498164	169.62	0.0103303	0.00083733	0.0103646	4.638	-1.40474e-11
0.43	8			-0.000188948	-0.000772122	0.000794772	-103.752	-0.0490153	0.00896841	0.049824	169.626	0.0105391	0.000800136	0.0105706	4.344	-1.869632e-11
0.415	9			-0.000173331	-0.000785235	0.00080407	-102.45	-0.0490382	0.00898749	0.0498507	169.608	0.0107766	0.000771526	0.0108042	4.098	-1.957581e-11
0.4	10			-0.000171901	-0.000773434	0.000792269	-102.522	-0.0490382	0.00897223	0.0498469	169.626	0.0109788	0.000726704	0.0110026	3.792	-1.727232e-11
0.385	11			-0.000220061	-0.000790361	0.000820283	-105.558	-0.0489886	0.00897986	0.0498011	169.608	0.0112382	0.000701908	0.0112601	3.576	-1.651844e-11
0.37	12			-0.000202418	-0.00078452	0.00081015	-104.466	-0.049	0.00897223	0.0498087	169.62	0.0115538	0.000643734	0.0115719	3.192	-1.731419e-11
0.355	13			-0.00020361	-0.000795726	0.000821117	-104.346	-0.0489924	0.00897986	0.0498049	169.608	0.0119486	0.000590328	0.0119639	2.832	-1.949207e-11
0.34	14			-0.000191213	-0.000822786	0.000844602	-103.08	-0.0489962	0.00901419	0.0498164	169.572	0.0123225	0.000552181	0.0123349	2.568	-2.137674e-11
0.325	15			-5.73399e-05	-0.000853423	0.00085533	-93.84	-0.0489657	0.00901419	0.0497859	169.566	0.0128251	0.000481607	0.0128337	2.154	-2.229814e-11
0.31	16			0.000909332	-0.00105322	0.00139142	-49.194	-0.0489581	0.00904089	0.0497782	169.536	0.0132552	0.000426294	0.0132619	1.842	-1.794245e-11
0.295	17			0.00130845	-0.00121213	0.00178362	-42.81	-0.0489619	0.00911719	0.0498049	169.446	0.0139838	0.000343325	0.0139876	1.41	-2.154427e-11
0.28	18			0.00460604	-0.00187612	0.00497368	-22.158	-0.049206	0.00931937	0.0500796	169.272	0.0167733	-0.000164033	0.0167743	-0.558	-2.238193e-11
0.265	19			0.0170947	-0.00458911	0.0176994	-15.024	-0.0528109	0.0106812	0.0538752	168.564	0.0277005	-0.00234415	0.0277997	-4.836	-1.844502e-11
0.25	20			0.0184003	-0.00475505	0.0190049	-14.49	-0.059643	0.0116578	0.0607684	168.936	0.0240327	-0.00151826	0.0240823	-3.612	-2.179554e-11
0.235	21			0.0101262	-0.00280191	0.0105076	-15.462	-0.0619509	0.0109826	0.0629125	169.944	0.0125809	0.000728611	0.0126019	3.318	-1.438247e-11
0.22	22			0.00455096	-0.00168801	0.00485232	-20.334	-0.0618174	0.0104638	0.0626912	170.388	0.00774768	0.00161744	0.00791365	11.796	-2.079043e-11
0.205	23			0.00304414	-0.00140096	0.00335027	-24.702	-0.0617068	0.0103455	0.0625615	170.478	0.00722888	0.00170327	0.00742725	13.272	-2.049724e-11
0.19	24			0.00363828	-0.00154591	0.00395301	-23.01	-0.0617526	0.010418	0.0626225	170.424	0.0084191	0.00153161	0.00855643	10.308	-2.246566e-11
0.175	25			0.00758746	-0.00225164	0.0079146	-16.524	-0.0628896	0.0107995	0.0638051	170.25	0.0114174	0.00104333	0.0114651	5.232	-2.606749e-11
