variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


1.0	0			-2.23518e-07	-1.43871e-05	1.43871e-05	-90.876	6.67575e-06	5.28099e-05	5.32272e-05	82.77	-3.34533e-06	-3.55842e-05	3.57258e-05	-95.364	-1.11759e-08	2.0221e-05	2.0221e-05	90.03	-2.049707e-11
0.998	1			-6.03501e-07	-1.50167e-05	1.50279e-05	-92.286	6.85456e-06	5.23629e-05	5.28099e-05	82.512	-3.6359e-06	-3.58375e-05	3.60163e-05	-95.79	2.49596e-07	2.03626e-05	2.03626e-05	89.298	-1.961753e-11
0.996	2			2.42146e-07	-1.48789e-05	1.48789e-05	-89.064	6.31812e-06	5.28398e-05	5.32272e-05	83.166	-3.85198e-06	-3.53383e-05	3.55321e-05	-96.21	2.90574e-07	2.01241e-05	2.01279e-05	89.166	-2.133469e-11
0.994	3			-1.33366e-06	-1.57022e-05	1.57544e-05	-94.854	6.76516e-06	5.15881e-05	5.20351e-05	82.53	-2.73438e-06	-3.59418e-05	3.60387e-05	-94.35	7.45064e-09	1.98932e-05	1.98932e-05	89.97	-2.154411e-11
0.992	4			-7.41336e-07	-1.52141e-05	1.5229e-05	-92.784	7.09298e-06	5.22437e-05	5.27205e-05	82.242	-2.96535e-06	-3.54203e-05	3.55395e-05	-94.776	1.07662e-06	2.04594e-05	2.04855e-05	86.988	-2.07902e-11
0.99	5			-1.37836e-06	-1.48453e-05	1.49049e-05	-95.298	7.3016e-06	5.24523e-05	5.2959e-05	82.062	-3.08455e-06	-3.59716e-05	3.60983e-05	-94.896	-2.98025e-08	2.04259e-05	2.04259e-05	90.078	-2.673742e-11
0.988	6			-5.21543e-08	-1.58028e-05	1.57991e-05	-90.18	7.83807e-06	5.23033e-05	5.28994e-05	81.468	-3.31552e-06	-3.58748e-05	3.60238e-05	-95.28	-3.5763e-07	2.01539e-05	2.01577e-05	91.014	-1.94919e-11
0.986	7			-1.52738e-07	-1.59034e-05	1.58997e-05	-90.54	7.77846e-06	5.0843e-05	5.1439e-05	81.282	-4.04569e-06	-3.54277e-05	3.56513e-05	-96.504	-1.97441e-07	2.03029e-05	2.03029e-05	90.552	-1.836108e-11
0.984	8			-5.62522e-07	-1.50018e-05	1.50093e-05	-92.136	6.67575e-06	5.27503e-05	5.31676e-05	82.764	-3.61355e-06	-3.65453e-05	3.67167e-05	-95.646	6.63105e-07	2.0329e-05	2.03402e-05	88.134	-2.003634e-11
0.982	9			-8.27018e-07	-1.50838e-05	1.51024e-05	-93.138	6.40753e-06	5.16775e-05	5.20649e-05	82.92	-3.09946e-06	-3.57034e-05	3.58301e-05	-94.956	2.42146e-07	2.02098e-05	2.02098e-05	89.31	-2.032952e-11
0.98	10			-1.58698e-06	-1.52253e-05	1.53036e-05	-95.952	7.42081e-06	5.28099e-05	5.33464e-05	81.972	-2.98025e-06	-3.51521e-05	3.52713e-05	-94.848	-1.11759e-08	2.04743e-05	2.04743e-05	90.03	-2.259114e-11
0.978	11			-1.41562e-07	-1.49012e-05	1.48975e-05	-90.54	7.77846e-06	5.45385e-05	5.51047e-05	81.864	-4.27666e-06	-3.57258e-05	3.59716e-05	-96.822	2.19793e-07	1.93493e-05	1.93493e-05	89.346	-2.14603e-11
0.976	12			-1.12877e-06	-1.48789e-05	1.49161e-05	-94.332	8.31491e-06	5.23629e-05	5.30186e-05	80.958	-3.53904e-06	-3.59716e-05	3.61355e-05	-95.61	-4.2841e-07	2.05339e-05	2.05376e-05	91.188	-2.217226e-11
0.974	13			-1.04681e-06	-1.56463e-05	1.56761e-05	-93.828	7.68906e-06	5.17669e-05	5.23331e-05	81.522	-3.42728e-06	-3.58077e-05	3.59716e-05	-95.466	1.08779e-06	2.10294e-05	2.10555e-05	87.036	-1.739777e-11
0.972	14			-4.69388e-07	-1.55383e-05	1.5542e-05	-91.722	9.4772e-06	5.31378e-05	5.4002e-05	79.872	-4.1649e-06	-3.62399e-05	3.64783e-05	-96.546	5.3272e-07	2.00496e-05	2.00571e-05	88.476	-1.978506e-11
0.97	15			-7.52512e-07	-1.56463e-05	1.56575e-05	-92.742	9.11957e-06	5.24523e-05	5.32272e-05	80.124	-4.50018e-06	-3.6292e-05	3.65677e-05	-97.056	3.05476e-07	2.02955e-05	2.02955e-05	89.136	-2.476895e-11
0.968	16			-2.03402e-06	-1.52664e-05	1.5393e-05	-97.59	9.23878e-06	5.38828e-05	5.46577e-05	80.262	-3.36023e-06	-3.6225e-05	3.63665e-05	-95.292	2.98025e-07	2.00534e-05	2.00571e-05	89.142	-1.949182e-11
0.966	17			-4.65663e-07	-1.63951e-05	1.63988e-05	-91.62	7.77846e-06	5.25715e-05	5.31676e-05	81.564	-4.7237e-06	-3.65453e-05	3.68434e-05	-97.362	-6.18402e-07	2.08133e-05	2.08245e-05	91.698	-2.296803e-11
0.964	18			-5.51347e-07	-1.5922e-05	1.59257e-05	-91.98	8.2553e-06	5.34954e-05	5.41213e-05	81.198	-2.9877e-06	-3.68657e-05	3.69775e-05	-94.632	-3.39003e-07	2.04855e-05	2.04855e-05	90.942	-2.481083e-11
0.962	19			-7.33886e-07	-1.61716e-05	1.61828e-05	-92.598	6.82476e-06	5.39722e-05	5.43895e-05	82.788	-2.87594e-06	-3.57779e-05	3.58822e-05	-94.59	4.80566e-07	2.00757e-05	2.00794e-05	88.62	-1.584817e-11
