variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


1.0	0			-0.00632766	0.000271799	0.00633338	177.54	-0.00632337	0.000339987	0.00633195	176.922	-0.00632957	0.000389101	0.00634101	176.478	-2.405644e-11
1.004	1			-0.00632718	0.000272276	0.0063329	177.534	-0.00632384	0.000339033	0.00633243	176.928	-0.00632909	0.000390055	0.00634053	176.472	-2.087359e-11
1.008	2			-0.00632766	0.000272276	0.00633338	177.534	-0.00632384	0.000340464	0.0063329	176.916	-0.00632957	0.000390055	0.00634101	176.472	-2.372147e-11
1.012	3			-0.00632766	0.000272276	0.0063329	177.534	-0.00632289	0.000339987	0.00633147	176.922	-0.00632957	0.000390531	0.00634101	176.466	-2.192057e-11
1.016	4			-0.00632814	0.000272276	0.00633386	177.534	-0.00632384	0.000339987	0.00633243	176.922	-0.00632957	0.000390531	0.00634101	176.466	-2.443346e-11
1.02	5			-0.00632766	0.000272276	0.0063329	177.534	-0.00632432	0.00034094	0.0063329	176.916	-0.00632909	0.000389578	0.00634053	176.472	-2.196244e-11
1.024	6			-0.00632671	0.000272276	0.00633243	177.534	-0.00632337	0.00033951	0.00633195	176.928	-0.00632909	0.000390531	0.00634053	176.466	-2.451719e-11
1.028	7			-0.00632861	0.000273706	0.00633386	177.522	-0.00632384	0.000339987	0.00633243	176.922	-0.00632814	0.000390055	0.00633958	176.472	-2.313513e-11
1.032	8			-0.00632814	0.000272276	0.00633386	177.534	-0.00632337	0.000339987	0.00633195	176.922	-0.00632861	0.000390531	0.00634006	176.466	-2.41822e-11
1.036	9			-0.00632766	0.000272753	0.0063329	177.528	-0.00632384	0.00033951	0.00633243	176.922	-0.00632766	0.000390531	0.0063391	176.466	-1.890511e-11
1.04	10			-0.00632766	0.000272276	0.00633338	177.534	-0.00632337	0.000339987	0.00633195	176.922	-0.00632766	0.000388624	0.0063391	176.484	-1.928207e-11
1.044	11			-0.00632766	0.000271322	0.0063329	177.54	-0.00632337	0.00034094	0.00633195	176.916	-0.00632575	0.00038767	0.0063372	176.49	-2.451721e-11
1.048	12			-0.00632909	0.000270845	0.00633433	177.546	-0.00632289	0.00034094	0.00633195	176.916	-0.00632146	0.00038767	0.0063329	176.49	-1.928202e-11
1.052	13			-0.00634006	0.000270845	0.00634483	177.552	-0.00633338	0.00034094	0.00634244	176.916	-0.00631908	0.000389578	0.00633052	176.472	-2.083167e-11
1.056	14			-0.00639585	0.000273706	0.00640157	177.546	-0.00640538	0.000347616	0.00641397	176.892	-0.00640967	0.000400068	0.0064216	176.424	-2.066413e-11
1.06	15			-0.00658467	0.000286581	0.00659087	177.504	-0.00660804	0.000364305	0.00661758	176.844	-0.00667766	0.00042391	0.00669053	176.37	-2.204622e-11
1.064	16			-0.00677159	0.000300886	0.00677779	177.45	-0.0067983	0.000380041	0.00680879	176.796	-0.0069361	0.000444891	0.00694993	176.328	-2.476849e-11
1.068	17			-0.00689557	0.0003109	0.00690177	177.42	-0.00692132	0.000389578	0.00693181	176.778	-0.00710729	0.000457289	0.00712112	176.316	-1.857006e-11
1.072	18			-0.0069733	0.000314714	0.0069795	177.414	-0.00700143	0.000394823	0.00701192	176.772	-0.00718501	0.000463964	0.00719932	176.304	-2.271629e-11
1.076	19			-0.00703004	0.000317099	0.00703672	177.414	-0.00705531	0.000397207	0.00706628	176.772	-0.00721791	0.000465872	0.00723222	176.304	-1.840256e-11
