variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.2	0			2.66322e-05	-7.22337e-06	2.75896e-05	-15.168	4.05388e-05	6.92162e-06	4.11274e-05	9.696	0.00125409	-4.74455e-05	0.00125492	-2.166	0.0012312	-6.34198e-05	0.00123275	-2.946	-1.739773e-11
0.198	1			1.84105e-05	-6.47831e-06	1.95169e-05	-19.38	3.45113e-05	7.12278e-06	3.5234e-05	11.67	0.00123871	-4.67303e-05	0.00123955	-2.16	0.00123001	-6.3539e-05	0.00123168	-2.958	-2.296802e-11
0.196	2			4.31019e-06	-6.21009e-06	7.55864e-06	-55.224	1.32584e-05	8.85507e-06	1.59444e-05	33.738	0.00121916	-4.6015e-05	0.00122	-2.16	0.00121189	-6.33006e-05	0.00121356	-2.982	-2.028753e-11
0.194	3			6.35165e-06	-5.84315e-06	8.62783e-06	-42.594	9.8013e-06	8.87742e-06	1.32248e-05	42.168	0.00121356	-4.58958e-05	0.00121439	-2.166	0.00121141	-6.37774e-05	0.00121308	-3.006	-2.175338e-11
0.192	4			2.28324e-05	-6.41684e-06	2.3719e-05	-15.696	2.63528e-05	7.78591e-06	2.74816e-05	16.458	0.00121272	-4.66111e-05	0.00121356	-2.196	0.00121022	-6.24661e-05	0.00121177	-2.952	-1.693704e-11
0.19	5			3.25742e-05	-6.374e-06	3.31926e-05	-11.07	4.8198e-05	6.713e-06	4.866e-05	7.932	0.00119019	-4.52998e-05	0.00119103	-2.178	0.00118054	-6.15125e-05	0.00118209	-2.982	-2.271673e-11
0.188	6			1.00528e-05	-5.05711e-06	1.12542e-05	-26.7	2.07872e-05	7.41336e-06	2.20725e-05	19.632	0.00116742	-4.47037e-05	0.00116826	-2.184	0.00116027	-6.00817e-05	0.00116182	-2.964	-1.693697e-11
0.186	7			4.96025e-06	-5.22661e-06	7.20288e-06	-46.482	9.92051e-06	7.13769e-06	1.22227e-05	35.736	0.00115991	-4.36308e-05	0.00116075	-2.148	0.00115753	-5.90088e-05	0.00115896	-2.916	-2.041317e-11
0.184	8			1.37389e-05	-5.70904e-06	1.4877e-05	-22.56	1.77698e-05	8.03923e-06	1.95057e-05	24.342	0.00115813	-4.375e-05	0.00115896	-2.16	0.00115598	-5.94857e-05	0.00115753	-2.94	-1.848666e-11
0.182	9			3.79684e-05	-7.05014e-06	3.86166e-05	-10.518	4.87233e-05	6.28459e-06	4.91256e-05	7.35	0.0011443	-4.26772e-05	0.00114513	-2.136	0.00113822	-5.90088e-05	0.00113977	-2.964	-2.414069e-11
0.18	10			1.32658e-05	-5.39611e-06	1.43201e-05	-22.128	2.32757e-05	7.62197e-06	2.44902e-05	18.132	0.00111843	-4.19619e-05	0.00111926	-2.142	0.00111211	-5.69823e-05	0.00111366	-2.928	-1.647633e-11
0.178	11			6.45968e-06	-4.74605e-06	8.01502e-06	-36.288	1.04309e-05	8.29255e-06	1.33254e-05	38.484	0.00110925	-4.22003e-05	0.00111008	-2.172	0.00110639	-5.79359e-05	0.00110782	-2.994	-1.735582e-11
0.176	12			1.42735e-05	-5.45944e-06	1.52813e-05	-20.928	1.80864e-05	7.73749e-06	1.96734e-05	23.166	0.00110722	-4.16043e-05	0.00110806	-2.148	0.00110555	-5.73399e-05	0.0011071	-2.964	-2.254912e-11
0.174	13			3.51483e-05	-6.15048e-06	3.56811e-05	-9.924	4.41934e-05	6.15048e-06	4.4618e-05	7.926	0.00108982	-4.05314e-05	0.00109065	-2.13	0.00108708	-5.6267e-05	0.00108851	-2.964	-1.614126e-11
0.172	14			1.0863e-05	-5.00496e-06	1.19601e-05	-24.732	1.7427e-05	7.14886e-06	1.88389e-05	22.302	0.00106872	-4.00546e-05	0.00106943	-2.142	0.00106431	-5.55518e-05	0.00106574	-2.982	-2.066451e-11
0.17	15			8.15472e-06	-4.54302e-06	9.33564e-06	-29.112	1.16416e-05	7.71886e-06	1.39662e-05	33.546	0.00106204	-3.99353e-05	0.00106276	-2.148	0.00106049	-5.49557e-05	0.00106192	-2.964	-1.769088e-11
0.168	16			2.48385e-05	-5.2322e-06	2.53824e-05	-11.892	3.08605e-05	6.39635e-06	3.15162e-05	11.712	0.0010593	-3.99353e-05	0.00106014	-2.154	0.00105716	-5.50749e-05	0.00105859	-2.976	-2.497834e-11
0.166	17			2.12734e-05	-5.5414e-06	2.19831e-05	-14.598	2.95156e-05	6.14676e-06	3.01489e-05	11.766	0.0010326	-3.96969e-05	0.00103331	-2.196	0.00102926	-5.36444e-05	0.00103069	-2.982	-2.213034e-11
0.164	18			8.35961e-06	-4.62498e-06	9.55357e-06	-28.938	1.21706e-05	6.95515e-06	1.40183e-05	29.748	0.00102092	-3.77896e-05	0.00102163	-2.118	0.00101865	-5.25715e-05	0.00101996	-2.952	-2.116706e-11
0.162	19			1.6451e-05	-5.47062e-06	1.73376e-05	-18.39	1.87272e-05	6.71673e-06	1.98969e-05	19.734	0.00101817	-3.75512e-05	0.00101889	-2.106	0.00101817	-5.30484e-05	0.0010196	-2.976	-2.16697e-11
0.16	20			2.87351e-05	-5.71462e-06	2.92958e-05	-11.244	3.51893e-05	5.53581e-06	3.56252e-05	8.94	0.000998147	-3.75512e-05	0.000998862	-2.148	0.000996836	-5.20947e-05	0.000998147	-2.988	-2.5062e-11
0.158	21			1.01645e-05	-5.0776e-06	1.13622e-05	-26.532	1.44132e-05	7.0669e-06	1.60524e-05	26.124	0.000982888	-3.63591e-05	0.000983603	-2.118	0.000980265	-5.04258e-05	0.000981458	-2.94	-2.409882e-11
0.156	22			1.40444e-05	-4.88016e-06	1.48677e-05	-19.158	1.69204e-05	6.96632e-06	1.83025e-05	22.386	0.000978716	-3.64783e-05	0.000979312	-2.136	0.000977643	-5.0545e-05	0.000979073	-2.958	-2.012003e-11
0.154	23			2.82341e-05	-5.47434e-06	2.87594e-05	-10.968	3.44219e-05	5.33837e-06	3.48354e-05	8.814	0.000962261	-3.58822e-05	0.000962857	-2.13	0.000961188	-4.98297e-05	0.00096238	-2.964	-2.108329e-11
0.152	24			1.14423e-05	-4.46479e-06	1.22823e-05	-21.306	1.43238e-05	7.12278e-06	1.59965e-05	26.436	0.000945572	-3.49286e-05	0.000946287	-2.112	0.000944737	-4.91145e-05	0.000946049	-2.97	-2.129275e-11
0.15	25			1.70228e-05	-5.90648e-06	1.80175e-05	-19.128	2.06457e-05	6.70555e-06	2.17111e-05	17.994	0.000942592	-3.37365e-05	0.000943188	-2.046	0.000940684	-4.92337e-05	0.000941996	-2.994	-2.108331e-11
0.148	26			2.23612e-05	-5.46876e-06	2.30205e-05	-13.74	2.78169e-05	5.15956e-06	2.82937e-05	10.512	0.000920895	-3.44517e-05	0.000921611	-2.136	0.000921253	-4.828e-05	0.000922445	-2.994	-2.280044e-11
0.146	27			9.43249e-06	-5.07201e-06	1.07084e-05	-28.266	1.21669e-05	6.15793e-06	1.36383e-05	26.844	0.000910524	-3.39749e-05	0.00091112	-2.13	0.000908259	-4.69687e-05	0.000909451	-2.958	-2.309362e-11
0.144	28			2.59691e-05	-4.94349e-06	2.64366e-05	-10.776	2.9795e-05	5.72953e-06	3.03389e-05	10.884	0.000904445	-3.36173e-05	0.000905041	-2.124	0.000904325	-4.75647e-05	0.000905637	-3.006	-1.98269e-11
0.142	29			1.65981e-05	-4.71438e-06	1.72557e-05	-15.852	1.90997e-05	6.71673e-06	2.02471e-05	19.38	0.000883583	-3.27828e-05	0.000884179	-2.118	0.000883464	-4.62534e-05	0.000884656	-2.994	-1.831907e-11
0.14	30			1.49292e-05	-3.98423e-06	1.54508e-05	-14.94	1.63057e-05	6.42243e-06	1.75276e-05	21.498	0.000877026	-3.24252e-05	0.000877623	-2.118	0.000876073	-4.58958e-05	0.000877265	-2.994	-1.492667e-11
0.138	31			2.35831e-05	-5.15211e-06	2.414e-05	-12.324	2.61256e-05	6.48948e-06	2.69191e-05	13.95	0.000859026	-3.13523e-05	0.000859622	-2.088	0.000860337	-4.45845e-05	0.00086141	-2.964	-1.777464e-11
0.136	32			1.19936e-05	-4.12206e-06	1.26828e-05	-18.966	1.36868e-05	6.13186e-06	1.49981e-05	24.132	0.000849012	-3.13523e-05	0.000849608	-2.112	0.000848297	-4.43461e-05	0.000849489	-2.988	-2.263292e-11
0.134	33			2.65316e-05	-5.47248e-06	2.70904e-05	-11.652	3.0868e-05	5.4464e-06	3.13448e-05	10.008	0.000838403	-3.19483e-05	0.000838999	-2.178	0.000838641	-4.42269e-05	0.000839833	-3.012	-2.18791e-11
0.132	34			1.38805e-05	-4.29715e-06	1.45306e-05	-17.196	1.58251e-05	6.40753e-06	1.70731e-05	22.05	0.000823025	-3.09946e-05	0.000823621	-2.154	0.000823382	-4.24387e-05	0.000824455	-2.94	-2.108332e-11
