variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


-5.0	0			0.000658516	0.000220717	0.000694517	18.534	0.000391366	-0.000171782	0.000427367	-23.694	-0.026024	0.00199701	0.0260984	175.608	-0.0258123	0.00244142	0.0259248	174.594	-1.87379e-11
-5.01	1			0.000611607	0.000224234	0.000651482	20.136	0.00037116	-0.000169278	0.000407936	-24.51	-0.0259591	0.00198747	0.0260335	175.62	-0.0257798	0.0024357	0.0258924	174.6	-2.129267e-11
-5.02	2			0.000596944	0.000222982	0.000637237	20.484	0.000353159	-0.000169993	0.000391962	-25.698	-0.0259362	0.00197984	0.0260106	175.632	-0.0257493	0.00242807	0.0258638	174.606	-2.192091e-11
-5.03	3			0.000594143	0.00022322	0.000634734	20.592	0.000342371	-0.000169576	0.000382068	-26.34	-0.0259267	0.00197984	0.0259992	175.632	-0.025736	0.00242426	0.0258466	174.618	-2.091572e-11
-5.04	4			0.000453116	0.000230969	0.00050861	27.012	0.000327053	-0.000167788	0.000367524	-27.15	-0.0257608	0.00196458	0.0258332	175.638	-0.0256883	0.00241472	0.0257989	174.624	-1.965933e-11
-5.05	5			0.000528935	0.000226379	0.000575308	23.172	0.000315132	-0.000166656	0.000356438	-27.864	-0.0258409	0.00196649	0.0259153	175.65	-0.0256826	0.00241281	0.0257951	174.63	-1.710452e-11
-5.06	6			0.000518981	0.000228466	0.000567082	23.76	0.000296297	-0.000165523	0.000339391	-29.184	-0.0258275	0.00196077	0.0259	175.656	-0.0256597	0.002409	0.0257722	174.636	-2.041317e-11
-5.07	7			0.000406565	0.000236512	0.000470402	30.192	0.000291767	-0.000166357	0.000335874	-29.682	-0.0256959	0.00195123	0.0257665	175.656	-0.0256406	0.00240518	0.0257512	174.636	-1.676953e-11
-5.08	8			0.000435295	0.000234486	0.000494484	28.314	0.000279071	-0.000166059	0.000324728	-30.744	-0.0257322	0.00194932	0.0258027	175.668	-0.0256292	0.00240137	0.0257398	174.642	-1.467539e-11
-5.09	9			0.000426294	0.00023532	0.000486972	28.902	0.00026715	-0.000166179	0.000314595	-31.872	-0.025715	0.00193978	0.0257856	175.68	-0.025612	0.00239755	0.0257207	174.648	-2.45595e-11
