variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


5.0	0			3.0935e-05	-0.000136198	0.000139595	-77.19	0.00185252	0.000185967	0.00186158	5.736	0.0274163	-0.00207521	0.0274926	-4.326	0.025654	-0.00245668	0.0257722	-5.466	-1.802614e-11
4.995	1			3.58822e-05	-0.000133158	0.000137866	-74.898	0.00179625	0.000192166	0.00180674	6.108	0.0273553	-0.0020714	0.0274316	-4.326	0.025654	-0.00245668	0.0257722	-5.466	-1.898943e-11
4.99	2			4.21407e-05	-0.000132502	0.000138999	-72.33	0.00176049	0.000193597	0.00177146	6.288	0.0273134	-0.0020714	0.0273896	-4.332	0.025654	-0.00245668	0.0257722	-5.466	-2.037158e-11
4.985	3			4.5419e-05	-0.000134529	0.000141979	-71.328	0.00171376	0.000199319	0.0017252	6.636	0.0272561	-0.00206377	0.0273324	-4.326	0.0256463	-0.00245668	0.0257646	-5.472	-1.601581e-11
4.98	4			4.86972e-05	-0.000131966	0.000140608	-69.726	0.00164796	0.000205518	0.00166083	7.122	0.0271722	-0.00205995	0.0272523	-4.338	0.0256387	-0.00245668	0.0257531	-5.472	-1.898945e-11
4.975	5			5.09026e-05	-0.000131966	0.000141443	-68.898	0.00151921	0.000216962	0.00153447	8.142	0.0270234	-0.00204851	0.0270997	-4.332	0.025612	-0.00245668	0.0257303	-5.478	-1.991088e-11
4.97	6			5.3704e-05	-0.000133217	0.000143589	-68.034	0.00143624	0.000223638	0.00145388	8.85	0.0269243	-0.00203706	0.0270005	-4.326	0.0256006	-0.00245668	0.0257188	-5.472	-2.146045e-11
4.965	7			5.69227e-05	-0.000131846	0.000143589	-66.642	0.00137711	0.000228883	0.00139619	9.438	0.0268556	-0.00203706	0.0269319	-4.332	0.0255891	-0.00245668	0.0257074	-5.472	-2.007836e-11
4.96	8			6.3539e-05	-0.000128449	0.00014329	-63.654	0.00128556	0.000236512	0.00130702	10.446	0.0267373	-0.00203325	0.0268136	-4.344	0.02557	-0.00245668	0.0256883	-5.478	-1.857062e-11
4.955	9			6.77113e-05	-0.000129045	0.000145675	-62.298	0.00122357	0.000243665	0.00124741	11.274	0.0266534	-0.00202562	0.0267297	-4.338	0.0255624	-0.00245668	0.0256768	-5.484	-1.940823e-11
4.95	10			7.14068e-05	-0.000129999	0.000148297	-61.194	0.00119496	0.000246527	0.00122023	11.658	0.0266191	-0.00202562	0.0266954	-4.344	0.0255548	-0.00245668	0.0256692	-5.49	-1.86125e-11
4.945	11			7.54599e-05	-0.000128509	0.000148953	-59.568	0.00114919	0.000250341	0.00117589	12.306	0.0265619	-0.0020218	0.0266382	-4.35	0.0255471	-0.00245668	0.0256654	-5.49	-1.702099e-11
4.94	12			8.67848e-05	-0.000123681	0.000151039	-54.924	0.00109196	0.00025511	0.00112153	13.158	0.0264856	-0.00202562	0.0265657	-4.368	0.0255433	-0.00245668	0.0256616	-5.49	-1.898941e-11
4.935	13			8.85134e-05	-0.000123144	0.000151635	-54.282	0.00103951	0.000259401	0.00107146	14.022	0.0264245	-0.00201799	0.0265008	-4.362	0.0255319	-0.00246049	0.0256463	-5.502	-2.150233e-11
4.93	14			9.51891e-05	-0.000124694	0.00015688	-52.632	0.000978477	0.000263693	0.00101329	15.096	0.026352	-0.00201799	0.0264283	-4.374	0.0255243	-0.00246049	0.0256387	-5.502	-1.957579e-11
4.925	15			9.82289e-05	-0.000127197	0.000160695	-52.314	0.000904087	0.000271322	0.000943903	16.71	0.0262567	-0.00201036	0.026333	-4.368	0.0255128	-0.00246049	0.0256311	-5.508	-1.756547e-11
4.92	16			0.000104309	-0.000126244	0.000163735	-50.424	0.000782732	0.000280621	0.000831608	19.734	0.0261117	-0.00199892	0.026188	-4.374	0.0254899	-0.00246049	0.025612	-5.514	-1.743982e-11
4.915	17			0.000112355	-0.000124157	0.00016743	-47.838	0.000735287	0.000284674	0.000788216	21.174	0.0260507	-0.0019951	0.026127	-4.374	0.0254823	-0.00246431	0.0256044	-5.52	-2.342895e-11
4.91	18			0.00011611	-0.000125409	0.000170887	-47.196	0.000648741	0.00029278	0.000711683	24.288	0.0259439	-0.00198747	0.0260202	-4.38	0.0254747	-0.00246049	0.0255929	-5.514	-2.397342e-11
4.905	19			0.000125648	-0.000124396	0.000176788	-44.7	0.000612501	0.00029278	0.00067902	25.56	0.0259019	-0.00198747	0.0259782	-4.386	0.0254709	-0.00246431	0.0255891	-5.52	-1.714665e-11
4.9	20			0.000130535	-0.000122429	0.000178934	-43.146	0.000576977	0.000296595	0.000648741	27.204	0.0258523	-0.00198747	0.0259286	-4.392	0.0254632	-0.00246431	0.0255853	-5.526	-2.225622e-11
4.895	21			0.000136555	-0.000121773	0.000182987	-41.712	0.000516418	0.000302555	0.000598673	30.36	0.0257722	-0.00198366	0.0258523	-4.398	0.0254518	-0.00246431	0.02557	-5.526	-1.961768e-11
4.89	22			0.000140012	-0.000122727	0.000186146	-41.232	0.000481131	0.000305178	0.000569586	32.4	0.0257303	-0.00198366	0.0258065	-4.398	0.025448	-0.00246431	0.0255662	-5.526	-1.647651e-11
4.885	23			0.000145675	-0.000122667	0.000190378	-40.086	0.000435116	0.000308277	0.000533346	35.31	0.025673	-0.00197984	0.0257493	-4.404	0.0254403	-0.00246812	0.0255624	-5.538	-2.087416e-11
4.88	24			0.000149549	-0.000122369	0.000193239	-39.276	0.00040579	0.0003109	0.000511173	37.464	0.0256387	-0.00197984	0.025715	-4.41	0.0254365	-0.00246812	0.0255586	-5.538	-1.781676e-11
4.875	25			0.000154079	-0.000122727	0.000196935	-38.526	0.000378611	0.000313045	0.000491265	39.588	0.0256044	-0.00197603	0.0256807	-4.404	0.0254327	-0.00246812	0.0255548	-5.538	-1.831931e-11
4.87	26			0.000156642	-0.00012225	0.000198663	-37.962	0.000339629	0.00031686	0.00046456	43.014	0.0255548	-0.00197221	0.0256311	-4.41	0.0254289	-0.00246812	0.025551	-5.538	-1.547137e-11
4.865	27			0.000158132	-0.000123919	0.000200869	-38.064	0.000318529	0.000317218	0.00044954	44.88	0.0255319	-0.00197221	0.0256082	-4.41	0.0254289	-0.00246812	0.0255471	-5.538	-2.133483e-11
4.86	28			0.000160576	-0.000122548	0.000201941	-37.344	0.000313761	0.000320794	0.000448825	45.63	0.0255243	-0.0019684	0.0256006	-4.404	0.0254289	-0.00246812	0.0255471	-5.538	-2.154425e-11
4.855	29			0.00016153	-0.000123681	0.000203372	-37.422	0.000282289	0.000323774	0.000429513	48.912	0.0254823	-0.00196458	0.0255624	-4.404	0.0254213	-0.00246812	0.0255395	-5.544	-1.970142e-11
4.85	30			0.000162722	-0.000123323	0.000204147	-37.146	0.000255467	0.000323178	0.000411989	51.66	0.0254518	-0.00196458	0.0255281	-4.41	0.0254174	-0.00246812	0.0255357	-5.544	-1.873812e-11
